time,node_id,neighbor_id,distance_m,symmetrical_link
1,0,25,348,1
1,0,3,344,1
1,0,18,338,1
1,0,28,322,1
1,0,12,333,1
1,0,14,303,1
1,0,29,330,1
1,1,5,324,1
1,1,23,270,1
1,1,2,319,1
1,2,20,149,0
1,2,1,270,1
1,2,5,324,1
1,2,23,270,1
1,3,4,325,1
1,3,27,255,1
1,3,20,149,0
1,3,5,324,1
1,3,18,338,1
1,3,12,333,1
1,3,0,325,1
1,3,30,344,1
1,3,24,348,1
1,4,27,255,1
1,4,20,149,1
1,4,3,344,1
1,4,30,344,1
1,4,24,348,1
1,5,1,270,1
1,5,26,330,1
1,5,3,344,1
1,5,18,338,1
1,5,2,319,1
1,6,29,330,1
1,6,7,270,1
1,6,17,338,1
1,6,18,338,1
1,6,28,322,1
1,6,14,303,1
1,6,10,335,1
1,7,6,263,1
1,7,17,338,1
1,7,18,338,1
1,7,28,322,1
1,7,15,304,1
1,7,14,303,1
1,7,10,335,1
1,7,9,208,1
1,7,29,330,1
1,8,21,301,1
1,8,25,348,1
1,8,11,329,1
1,8,16,293,1
1,8,28,322,1
1,8,15,304,1
1,8,9,208,1
1,9,21,301,1
1,9,8,322,1
1,9,25,348,1
1,9,16,293,1
1,9,7,270,1
1,9,17,338,1
1,9,28,322,1
1,9,15,304,1
1,9,14,303,1
1,9,10,335,1
1,9,11,329,1
1,10,6,263,1
1,10,29,330,1
1,10,7,270,1
1,10,17,338,1
1,10,18,338,1
1,10,28,322,1
1,10,14,303,1
1,10,9,208,0
1,11,21,301,1
1,11,8,322,1
1,11,25,348,0
1,11,16,293,1
1,11,12,333,0
1,11,15,304,0
1,11,9,208,0
1,12,21,301,1
1,12,25,348,1
1,12,19,304,1
1,12,16,293,1
1,12,13,272,1
1,12,3,344,1
1,12,0,325,1
1,12,30,344,1
1,12,24,348,1
1,12,11,329,1
1,13,19,304,1
1,13,12,333,1
1,13,30,344,1
1,13,24,348,1
1,14,6,263,1
1,14,29,330,1
1,14,7,270,1
1,14,17,338,1
1,14,18,338,1
1,14,28,322,1
1,14,15,304,1
1,14,0,325,1
1,14,10,335,1
1,14,9,208,0
1,15,21,301,1
1,15,8,322,1
1,15,25,348,1
1,15,16,293,1
1,15,7,270,1
1,15,17,338,1
1,15,28,322,1
1,15,14,303,1
1,15,9,208,1
1,15,11,329,1
1,16,21,301,1
1,16,8,322,1
1,16,25,348,1
1,16,11,329,1
1,16,28,322,1
1,16,12,333,1
1,16,15,304,1
1,16,9,208,0
1,17,6,263,1
1,17,7,270,1
1,17,18,338,1
1,17,28,322,1
1,17,15,304,1
1,17,14,303,1
1,17,10,335,1
1,17,9,208,1
1,17,29,330,1
1,18,5,324,1
1,18,6,263,1
1,18,29,330,1
1,18,7,270,1
1,18,3,344,1
1,18,17,338,1
1,18,28,322,1
1,18,14,303,1
1,18,0,325,1
1,18,10,335,1
1,19,13,272,1
1,19,12,333,1
1,19,30,344,1
1,19,24,348,1
1,20,4,325,1
1,20,27,255,1
1,20,23,270,1
1,20,3,344,1
1,20,2,319,1
1,21,8,322,1
1,21,25,348,1
1,21,11,329,1
1,21,16,293,1
1,21,12,333,1
1,21,15,304,1
1,21,9,208,0
1,22,26,330,1
1,23,20,149,0
1,23,1,270,1
1,23,2,319,1
1,24,4,325,1
1,24,27,255,1
1,24,25,348,1
1,24,19,304,1
1,24,13,272,1
1,24,3,344,1
1,24,12,333,1
1,24,30,344,1
1,25,21,301,1
1,25,8,322,1
1,25,16,293,1
1,25,28,322,1
1,25,12,333,1
1,25,15,304,1
1,25,0,325,1
1,25,9,208,0
1,25,24,348,1
1,25,11,329,1
1,26,22,283,1
1,26,5,324,1
1,26,29,330,1
1,27,4,325,1
1,27,20,149,1
1,27,3,344,1
1,27,30,344,1
1,27,24,348,1
1,28,8,322,1
1,28,25,348,1
1,28,6,263,1
1,28,16,293,1
1,28,7,270,1
1,28,17,338,1
1,28,18,338,1
1,28,15,304,1
1,28,14,303,1
1,28,0,325,1
1,28,10,335,1
1,28,9,208,1
1,28,29,330,1
1,29,6,263,1
1,29,7,270,0
1,29,26,330,0
1,29,17,338,0
1,29,18,338,1
1,29,28,322,0
1,29,14,303,1
1,29,0,325,0
1,29,10,335,1
1,30,4,325,1
1,30,27,255,1
1,30,19,304,1
1,30,13,272,1
1,30,3,344,1
1,30,12,333,1
1,30,24,348,1
1.5,0,25,348,1
1.5,0,3,344,1
1.5,0,18,338,1
1.5,0,28,322,1
1.5,0,12,333,1
1.5,0,14,303,1
1.5,0,29,330,1
1.5,1,5,324,1
1.5,1,23,270,1
1.5,1,2,319,1
1.5,2,1,270,1
1.5,2,5,324,1
1.5,2,23,270,1
1.5,2,20,319,1
1.5,3,4,325,1
1.5,3,27,255,1
1.5,3,5,324,1
1.5,3,18,338,1
1.5,3,12,333,1
1.5,3,0,325,1
1.5,3,30,344,1
1.5,3,24,348,1
1.5,3,20,319,1
1.5,4,27,255,1
1.5,4,20,319,1
1.5,4,3,344,1
1.5,4,30,344,1
1.5,4,24,348,1
1.5,5,1,270,1
1.5,5,26,330,1
1.5,5,3,344,1
1.5,5,18,338,1
1.5,5,2,319,1
1.5,6,29,330,1
1.5,6,7,194,1
1.5,6,17,338,1
1.5,6,18,338,1
1.5,6,28,322,1
1.5,6,14,303,1
1.5,6,10,335,1
1.5,7,6,263,1
1.5,7,17,338,1
1.5,7,18,338,1
1.5,7,28,322,1
1.5,7,15,304,1
1.5,7,14,303,1
1.5,7,10,335,1
1.5,7,9,335,1
1.5,7,29,330,1
1.5,8,21,294,1
1.5,8,25,348,1
1.5,8,11,329,1
1.5,8,16,293,1
1.5,8,28,322,1
1.5,8,15,304,1
1.5,8,9,335,1
1.5,9,21,294,1
1.5,9,8,322,1
1.5,9,25,348,1
1.5,9,16,293,1
1.5,9,7,194,1
1.5,9,17,338,1
1.5,9,28,322,1
1.5,9,15,304,1
1.5,9,14,303,1
1.5,9,10,335,1
1.5,9,11,329,1
1.5,10,6,263,1
1.5,10,29,330,1
1.5,10,7,194,1
1.5,10,17,338,1
1.5,10,18,338,1
1.5,10,28,322,1
1.5,10,14,303,1
1.5,10,9,335,1
1.5,11,21,294,1
1.5,11,8,322,1
1.5,11,25,348,1
1.5,11,16,293,1
1.5,11,12,333,1
1.5,11,15,304,1
1.5,11,9,335,1
1.5,12,21,294,1
1.5,12,25,348,1
1.5,12,19,304,1
1.5,12,16,293,1
1.5,12,13,272,1
1.5,12,3,344,1
1.5,12,0,325,1
1.5,12,30,344,1
1.5,12,24,348,1
1.5,12,11,329,1
1.5,13,19,304,1
