time,node_id,initial_energy,remaining_energy,data_mode,data_rate_mbps,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_m_s,yaw_deg,pitch_deg
1,0,1e+06,999999,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
1,1,200.848,200.03,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
1,2,207.935,207.117,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
1,3,232.389,231.571,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
1,4,232.189,231.371,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
1,5,254.942,254.124,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
1,6,235.271,234.453,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
1,7,282.922,282.105,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
1,8,239.036,238.219,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
1,9,262.783,261.966,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
1,10,251.48,250.662,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
1,11,269.065,268.248,DsssRate11Mbps,11,41.7598,316.002,171.632,0,0,0,0,0,0
1,12,263.104,262.287,DsssRate5_5Mbps,5.5,218.982,589.898,124.2,0,0,0,0,0,0
1,13,275.573,274.755,DsssRate11Mbps,11,153.552,851.685,158.832,0,0,0,0,0,0
1,14,281.838,281.021,DsssRate11Mbps,11,535.727,226.118,125.801,0,0,0,0,0,0
1,15,248.896,248.078,DsssRate5_5Mbps,5.5,252.415,144.059,70.4472,0,0,0,0,0,0
1,16,273.16,272.342,DsssRate1Mbps,1,145.058,308.362,90.5491,0,0,0,0,0,0
1,17,216.316,215.499,DsssRate5_5Mbps,5.5,424.01,68.2637,181.332,0,0,0,0,0,0
1,18,223.385,222.568,DsssRate1Mbps,1,579.649,367.693,156.043,0,0,0,0,0,0
1,19,254.612,253.794,DsssRate1Mbps,1,121.554,877.603,149.552,0,0,0,0,0,0
1,20,214.912,214.094,DsssRate11Mbps,11,647.533,881.633,160.777,0,0,0,0,0,0
1,21,285.953,285.136,DsssRate1Mbps,1,91.2849,345.173,21.2331,0,0,0,0,0,0
1,22,233.085,232.267,DsssRate11Mbps,11,952.893,70.2772,136.261,0,0,0,0,0,0
1,23,262.864,262.046,DsssRate2Mbps,2,887.367,962.775,164.675,0,0,0,0,0,0
1,24,294.844,294.027,DsssRate5_5Mbps,5.5,284.179,751.972,183.85,0,0,0,0,0,0
