timestamp,round,train_loss,test_acc,macro_f1,weighted_f1,balanced_acc,macro_prauc,ece,brier,avg_conf,few_shot_recall,few_shot_macro_f1,ema_test_acc,selection_score
2026-03-25 17:11:13,0,2.3664,0.0625,0.0,0.0942,0.0152,0.0957,0.0839,0.9102,0.1417,0.0,0.0,0.0625,-0.0196
2026-03-25 17:11:16,1,1.8168,0.5581,0.0833,0.5315,0.2483,0.2223,0.3433,0.7503,0.2179,0.2,0.0833,0.1616,0.2375
