time,node_id,is_mpr,one_hop_neighbors,sym_one_hop_neighbors,two_hop_neighbors,sym_two_hop_neighbors,mpr_set_size,mpr_selector_set_size,mpr_changes,olsr_hello_sent,olsr_hello_received,olsr_tc_generated,olsr_tc_retransmitted,olsr_tc_recved
1,0,0,6,5,0,0,0,0,0,2,11,0,0,0
1,1,0,3,3,0,0,0,0,0,2,6,0,0,0
1,2,0,4,4,0,0,0,0,0,2,8,0,0,0
1,3,0,8,8,0,0,0,0,0,2,15,0,0,0
1,4,0,5,5,0,0,0,0,0,2,10,0,0,0
1,5,0,5,2,0,0,0,0,0,2,9,0,0,0
1,6,0,7,7,0,0,0,0,0,2,14,0,0,0
1,7,0,9,9,0,0,0,0,0,2,18,0,0,0
1,8,0,7,7,0,0,0,0,0,2,14,0,0,0
1,9,0,11,11,0,0,0,0,0,2,22,0,0,0
1,10,0,8,8,0,0,0,0,0,2,16,0,0,0
1,11,0,6,6,0,0,0,0,0,2,12,0,0,0
1,12,0,10,7,0,0,0,0,0,2,20,0,0,0
1,13,0,4,4,0,0,0,0,0,2,8,0,0,0
1,14,0,10,9,0,0,0,0,0,2,19,0,0,0
1,15,0,10,10,0,0,0,0,0,2,20,0,0,0
1,16,0,8,7,0,0,0,0,0,2,15,0,0,0
1,17,0,9,9,0,0,0,0,0,2,18,0,0,0
1,18,0,10,10,0,0,0,0,0,2,19,0,0,0
1,19,0,4,3,0,0,0,0,0,2,7,0,0,0
1,20,0,5,5,0,0,0,0,0,2,10,0,0,0
1,21,0,7,6,0,0,0,0,0,2,13,0,0,0
1,22,0,1,0,0,0,0,0,0,2,1,0,0,0
1,23,0,3,3,0,0,0,0,0,2,6,0,0,0
1,24,0,8,8,0,0,0,0,0,2,16,0,0,0
1,25,0,10,9,0,0,0,0,0,2,19,0,0,0
1,26,0,3,3,0,0,0,0,0,2,6,0,0,0
1,27,0,5,5,0,0,0,0,0,2,10,0,0,0
1,28,0,13,13,0,0,0,0,0,2,26,0,0,0
1,29,0,9,7,0,0,0,0,0,2,16,0,0,0
1,30,0,7,6,0,0,0,0,0,2,13,0,0,0
1.5,0,0,5,5,17,17,3,0,7,1,5,0,0,0
1.5,1,0,3,3,1,1,1,0,1,1,3,0,0,0
1.5,2,0,4,4,3,3,1,0,1,1,4,0,0,0
1.5,3,0,8,8,9,9,4,0,6,1,6,0,0,0
1.5,4,0,5,5,9,9,3,0,5,1,5,0,0,0
1.5,5,0,5,4,9,9,3,0,3,1,4,0,0,0
1.5,6,0,7,7,8,8,2,0,2,1,6,0,0,0
1.5,7,0,9,9,8,8,2,0,4,1,9,0,0,0
1.5,8,0,7,7,9,9,2,0,2,1,7,0,0,0
1.5,9,0,11,11,5,5,2,0,2,1,10,0,0,0
1.5,10,0,8,8,9,9,2,0,4,1,7,0,0,0
1.5,11,0,6,6,7,7,2,0,2,1,6,0,0,0
1.5,12,0,10,7,6,6,2,0,2,1,8,0,0,0
1.5,13,0,4,4,4,4,1,0,3,1,3,0,0,0
1.5,14,0,10,10,7,7,2,0,4,1,9,0,0,0
1.5,15,0,10,10,6,6,2,0,2,1,9,0,0,0
1.5,16,0,7,7,9,9,2,0,2,1,7,0,0,0
1.5,17,0,9,9,8,8,2,0,4,1,9,0,0,0
1.5,18,0,10,10,12,12,3,0,3,1,9,0,0,0
1.5,19,0,3,3,5,5,1,0,5,1,3,0,0,0
1.5,20,0,5,5,6,6,2,0,6,1,5,0,0,0
1.5,21,0,6,6,7,7,2,0,2,1,6,0,0,0
1.5,22,0,1,1,2,2,1,0,1,1,1,0,0,0
1.5,23,0,3,3,4,4,2,0,2,1,3,0,0,0
1.5,24,0,8,8,11,11,2,0,4,1,7,0,0,0
1.5,25,0,10,10,13,13,2,0,6,1,10,0,0,0
1.5,26,0,3,3,9,9,2,0,2,1,2,0,0,0
1.5,27,0,5,5,9,9,3,0,5,1,5,0,0,0
1.5,28,0,13,13,5,5,2,0,2,1,13,0,0,0
1.5,29,0,9,9,8,8,3,0,3,1,8,0,0,0
1.5,30,0,6,6,6,6,2,0,6,1,5,0,0,0
2,0,1,7,7,19,19,4,1,3,1,7,0,0,0
2,1,0,3,3,3,3,2,0,1,1,3,0,0,0
2,2,1,4,4,4,4,2,4,1,1,4,0,0,0
2,3,1,9,9,16,16,4,8,4,1,9,0,0,0
2,4,0,5,5,9,9,3,0,0,1,5,0,0,0
2,5,1,5,5,15,15,4,3,1,1,5,0,0,0
2,6,0,7,7,9,9,3,0,1,1,7,0,0,0
2,7,0,9,9,9,9,3,0,1,1,9,0,0,0
2,8,0,7,7,10,10,2,0,0,1,7,0,0,0
2,9,1,11,11,6,6,2,6,0,1,11,0,0,0
2,10,0,8,8,10,10,3,0,1,1,8,0,0,0
2,11,0,7,7,10,10,3,0,1,1,7,0,0,0
2,12,0,10,6,6,6,2,0,0,1,10,0,0,0
2,13,0,4,4,6,6,2,0,3,1,4,0,0,0
2,14,0,10,10,8,8,3,0,1,1,10,0,0,0
2,15,0,10,10,7,7,2,0,0,1,10,0,0,0
2,16,0,8,8,12,12,2,0,2,1,8,0,0,0
2,17,0,9,9,9,9,3,0,1,1,9,0,0,0
2,18,1,10,10,13,13,3,7,0,1,10,0,0,0
2,19,0,4,4,6,6,2,0,3,1,4,0,0,0
2,20,1,5,5,6,6,2,5,0,1,5,0,0,0
2,21,0,7,7,10,10,3,0,1,1,7,0,0,0
2,22,0,1,1,2,2,1,0,0,1,1,0,0,0
2,23,0,3,3,4,4,2,0,0,1,3,0,0,0
2,24,1,8,8,11,11,2,7,0,1,8,0,0,0
2,25,1,10,10,13,13,2,10,0,1,10,0,0,0
2,26,1,3,3,11,11,2,3,0,1,3,0,0,0
2,27,0,5,5,9,9,3,0,0,1,5,0,0,0
2,28,1,13,13,7,7,3,9,1,1,13,0,0,0
2,29,1,9,9,8,8,3,1,0,1,9,0,0,0
2,30,1,7,7,7,7,2,1,2,1,7,0,0,0
2.5,0,1,7,7,19,19,4,1,0,1,7,0,0,0
2.5,1,0,3,3,4,4,2,0,0,1,3,0,0,0
2.5,2,1,4,4,5,5,2,4,0,1,4,0,0,0
2.5,3,1,9,9,15,15,4,8,0,1,8,0,0,0
2.5,4,0,5,5,9,9,3,0,0,1,5,0,0,0
2.5,5,1,5,5,16,16,4,5,0,1,5,0,0,0
2.5,6,0,7,7,9,9,3,0,0,1,7,0,0,0
2.5,7,0,9,9,9,9,3,0,0,1,9,0,0,0
2.5,8,0,7,7,10,10,2,0,0,1,7,0,0,0
2.5,9,1,11,11,6,6,2,6,0,1,11,0,0,0
2.5,10,0,8,8,10,10,3,0,0,1,8,0,0,0
2.5,11,0,7,7,10,10,3,0,0,1,7,0,0,0
2.5,12,1,10,10,11,11,3,8,5,1,10,0,0,0
2.5,13,0,4,4,5,5,2,0,0,1,4,0,0,0
2.5,14,0,10,10,9,9,4,0,1,1,10,0,0,0
