window_start,window_end,node_id,sent_pkts,sent_bytes,recv_pkts,recv_bytes,avg_delay_ms,jitter_ms,throughput_bps,DestinationRecvDataPkts,DestinationRecvDataBytes,goodput_bps
0.0,0.5,0.0,7.0,588.0,6.0,504.0,0.255,0.0,8064,0.0,0.0,0
0.0,0.5,1.0,3.0,252.0,3.0,252.0,0.255,0.001,4032,0.0,0.0,0
0.0,0.5,2.0,4.0,336.0,4.0,336.0,0.255,0.0,5376,0.0,0.0,0
0.0,0.5,3.0,9.0,756.0,7.0,588.0,0.255,0.0,9408,0.0,0.0,0
0.0,0.5,4.0,5.0,420.0,5.0,420.0,0.255,0.001,6720,0.0,0.0,0
0.0,0.5,5.0,3.0,252.0,5.0,420.0,0.255,0.0,6720,0.0,0.0,0
0.0,0.5,6.0,7.0,588.0,7.0,588.0,0.255,0.001,9408,0.0,0.0,0
0.0,0.5,7.0,9.0,756.0,9.0,756.0,0.255,0.001,12096,0.0,0.0,0
0.0,0.5,8.0,7.0,588.0,7.0,588.0,0.255,0.001,9408,0.0,0.0,0
0.0,0.5,9.0,11.0,924.0,11.0,924.0,0.255,0.0,14784,0.0,0.0,0
0.0,0.5,10.0,8.0,672.0,8.0,672.0,0.255,0.0,10752,0.0,0.0,0
0.0,0.5,11.0,7.0,588.0,6.0,504.0,0.255,0.0,8064,0.0,0.0,0
0.0,0.5,12.0,7.0,588.0,10.0,840.0,0.255,0.0,13440,0.0,0.0,0
0.0,0.5,13.0,4.0,336.0,4.0,336.0,0.254,0.001,5376,0.0,0.0,0
0.0,0.5,14.0,10.0,840.0,10.0,840.0,0.254,0.001,13440,0.0,0.0,0
0.0,0.5,15.0,10.0,840.0,10.0,840.0,0.255,0.0,13440,0.0,0.0,0
0.0,0.5,16.0,8.0,672.0,8.0,672.0,0.254,0.001,10752,0.0,0.0,0
0.0,0.5,17.0,9.0,756.0,9.0,756.0,0.255,0.0,12096,0.0,0.0,0
0.0,0.5,18.0,10.0,840.0,9.0,756.0,0.255,0.0,12096,0.0,0.0,0
0.0,0.5,19.0,4.0,336.0,4.0,336.0,0.254,0.001,5376,0.0,0.0,0
0.0,0.5,20.0,5.0,420.0,5.0,420.0,0.255,0.001,6720,0.0,0.0,0
0.0,0.5,21.0,7.0,588.0,7.0,588.0,0.255,0.001,9408,0.0,0.0,0
0.0,0.5,22.0,1.0,84.0,1.0,84.0,0.255,0.0,1344,0.0,0.0,0
0.0,0.5,23.0,3.0,252.0,3.0,252.0,0.255,0.0,4032,0.0,0.0,0
0.0,0.5,24.0,8.0,672.0,8.0,672.0,0.255,0.0,10752,0.0,0.0,0
0.0,0.5,25.0,10.0,840.0,10.0,840.0,0.255,0.0,13440,0.0,0.0,0
0.0,0.5,26.0,3.0,252.0,3.0,252.0,0.255,0.0,4032,0.0,0.0,0
0.0,0.5,27.0,5.0,420.0,5.0,420.0,0.255,0.001,6720,0.0,0.0,0
0.0,0.5,28.0,13.0,1092.0,13.0,1092.0,0.255,0.0,17472,0.0,0.0,0
0.0,0.5,29.0,9.0,756.0,9.0,756.0,0.255,0.0,12096,0.0,0.0,0
0.0,0.5,30.0,7.0,588.0,7.0,588.0,0.255,0.0,9408,0.0,0.0,0
0.5,1.0,0.0,5.0,660.0,5.0,812.0,0.312,0.013,12992,0.0,0.0,0
0.5,1.0,1.0,3.0,324.0,3.0,348.0,0.278,0.006,5568,0.0,0.0,0
0.5,1.0,2.0,4.0,464.0,4.0,464.0,0.278,0.007,7424,0.0,0.0,0
0.5,1.0,3.0,9.0,1260.0,8.0,1072.0,0.291,0.009,17152,0.0,0.0,0
0.5,1.0,4.0,5.0,620.0,5.0,676.0,0.292,0.008,10816,0.0,0.0,0
0.5,1.0,5.0,5.0,620.0,4.0,520.0,0.288,0.016,8320,0.0,0.0,0
0.5,1.0,6.0,7.0,980.0,7.0,1124.0,0.31,0.01,17984,0.0,0.0,0
0.5,1.0,7.0,9.0,1404.0,9.0,1444.0,0.31,0.01,23104,0.0,0.0,0
0.5,1.0,8.0,7.0,980.0,7.0,1108.0,0.308,0.015,17728,0.0,0.0,0
0.5,1.0,9.0,11.0,1892.0,11.0,1700.0,0.305,0.011,27200,0.0,0.0,0
0.5,1.0,10.0,8.0,1184.0,8.0,1288.0,0.31,0.01,20608,0.0,0.0,0
0.5,1.0,11.0,7.0,924.0,6.0,928.0,0.306,0.011,14848,0.0,0.0,0
0.5,1.0,12.0,2.0,328.0,10.0,1376.0,0.293,0.011,22016,0.0,0.0,0
0.5,1.0,13.0,4.0,464.0,4.0,568.0,0.296,0.015,9088,0.0,0.0,0
0.5,1.0,14.0,10.0,1640.0,9.0,1436.0,0.309,0.01,22976,0.0,0.0,0
0.5,1.0,15.0,10.0,1640.0,10.0,1560.0,0.307,0.012,24960,0.0,0.0,0
0.5,1.0,16.0,8.0,1184.0,7.0,1100.0,0.307,0.015,17600,0.0,0.0,0
0.5,1.0,17.0,9.0,1404.0,9.0,1444.0,0.31,0.01,23104,0.0,0.0,0
0.5,1.0,18.0,10.0,1560.0,10.0,1504.0,0.302,0.013,24064,0.0,0.0,0
0.5,1.0,19.0,4.0,464.0,3.0,404.0,0.291,0.012,6464,0.0,0.0,0
0.5,1.0,20.0,5.0,620.0,5.0,612.0,0.282,0.009,9792,0.0,0.0,0
0.5,1.0,21.0,7.0,980.0,6.0,920.0,0.304,0.012,14720,0.0,0.0,0
0.5,1.0,22.0,1.0,92.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
0.5,1.0,23.0,3.0,324.0,3.0,348.0,0.278,0.007,5568,0.0,0.0,0
0.5,1.0,24.0,8.0,1184.0,8.0,1088.0,0.292,0.014,17408,0.0,0.0,0
0.5,1.0,25.0,10.0,1640.0,9.0,1364.0,0.303,0.014,21824,0.0,0.0,0
0.5,1.0,26.0,1.0,108.0,3.0,372.0,0.284,0.024,5952,0.0,0.0,0
0.5,1.0,27.0,5.0,620.0,5.0,676.0,0.291,0.008,10816,0.0,0.0,0
0.5,1.0,28.0,13.0,2444.0,13.0,1996.0,0.305,0.009,31936,0.0,0.0,0
0.5,1.0,29.0,8.0,1248.0,7.0,1108.0,0.308,0.011,17728,0.0,0.0,0
0.5,1.0,30.0,7.0,980.0,6.0,768.0,0.286,0.009,12288,0.0,0.0,0
1.0,1.5,0.0,7.0,924.0,5.0,828.0,0.312,0.011,13248,0.0,0.0,0
1.0,1.5,1.0,3.0,324.0,3.0,348.0,0.277,0.006,5568,0.0,0.0,0
1.0,1.5,2.0,4.0,464.0,4.0,464.0,0.278,0.005,7424,0.0,0.0,0
1.0,1.5,3.0,9.0,1332.0,6.0,792.0,0.288,0.01,12672,0.0,0.0,0
1.0,1.5,4.0,2.0,248.0,5.0,684.0,0.294,0.013,10944,0.0,0.0,0
1.0,1.5,5.0,5.0,620.0,4.0,480.0,0.285,0.017,7680,0.0,0.0,0
1.0,1.5,6.0,7.0,980.0,6.0,976.0,0.31,0.011,15616,0.0,0.0,0
1.0,1.5,7.0,9.0,1404.0,9.0,1452.0,0.309,0.011,23232,0.0,0.0,0
1.0,1.5,8.0,7.0,980.0,7.0,1108.0,0.307,0.013,17728,0.0,0.0,0
1.0,1.5,9.0,11.0,1892.0,10.0,1560.0,0.305,0.012,24960,0.0,0.0,0
1.0,1.5,10.0,8.0,1184.0,7.0,1140.0,0.309,0.012,18240,0.0,0.0,0
1.0,1.5,11.0,7.0,924.0,6.0,928.0,0.303,0.008,14848,0.0,0.0,0
1.0,1.5,12.0,2.0,328.0,8.0,1128.0,0.298,0.01,18048,0.0,0.0,0
1.0,1.5,13.0,3.0,348.0,3.0,404.0,0.293,0.012,6464,0.0,0.0,0
1.0,1.5,14.0,10.0,1640.0,9.0,1420.0,0.306,0.012,22720,0.0,0.0,0
1.0,1.5,15.0,10.0,1640.0,9.0,1420.0,0.306,0.012,22720,0.0,0.0,0
1.0,1.5,16.0,8.0,1184.0,7.0,1100.0,0.306,0.014,17600,0.0,0.0,0
1.0,1.5,17.0,4.0,624.0,9.0,1452.0,0.308,0.011,23232,0.0,0.0,0
1.0,1.5,18.0,8.0,1312.0,9.0,1356.0,0.302,0.015,21696,0.0,0.0,0
1.0,1.5,19.0,4.0,464.0,3.0,404.0,0.29,0.017,6464,0.0,0.0,0
1.0,1.5,20.0,5.0,620.0,5.0,620.0,0.284,0.015,9920,0.0,0.0,0
1.0,1.5,21.0,4.0,560.0,6.0,920.0,0.302,0.01,14720,0.0,0.0,0
1.0,1.5,22.0,1.0,92.0,1.0,108.0,0.27,0.0,1728,0.0,0.0,0
1.0,1.5,23.0,3.0,324.0,3.0,348.0,0.28,0.0,5568,0.0,0.0,0
1.0,1.5,24.0,8.0,1184.0,7.0,972.0,0.296,0.015,15552,0.0,0.0,0
1.0,1.5,25.0,10.0,1640.0,10.0,1528.0,0.303,0.013,24448,0.0,0.0,0
1.0,1.5,26.0,3.0,324.0,2.0,280.0,0.295,0.021,4480,0.0,0.0,0
1.0,1.5,27.0,5.0,620.0,5.0,684.0,0.294,0.013,10944,0.0,0.0,0
1.0,1.5,28.0,13.0,2444.0,13.0,2004.0,0.303,0.009,32064,0.0,0.0,0
1.0,1.5,29.0,8.0,1248.0,8.0,1200.0,0.3,0.018,19200,0.0,0.0,0
1.0,1.5,30.0,7.0,980.0,5.0,652.0,0.29,0.014,10432,0.0,0.0,0
1.5,2.0,0.0,7.0,868.0,7.0,1148.0,0.316,0.01,18368,0.0,0.0,0
1.5,2.0,1.0,3.0,324.0,3.0,348.0,0.277,0.006,5568,0.0,0.0,0
1.5,2.0,2.0,4.0,464.0,4.0,464.0,0.275,0.006,7424,0.0,0.0,0
1.5,2.0,3.0,9.0,1332.0,9.0,1228.0,0.291,0.015,19648,0.0,0.0,0
1.5,2.0,4.0,5.0,620.0,5.0,676.0,0.29,0.01,10816,0.0,0.0,0
1.5,2.0,5.0,5.0,620.0,5.0,644.0,0.288,0.022,10304,0.0,0.0,0
1.5,2.0,6.0,7.0,980.0,7.0,1132.0,0.314,0.01,18112,0.0,0.0,0
1.5,2.0,7.0,9.0,1404.0,9.0,1452.0,0.312,0.012,23232,0.0,0.0,0
1.5,2.0,8.0,7.0,980.0,7.0,1092.0,0.309,0.016,17472,0.0,0.0,0
1.5,2.0,9.0,11.0,1892.0,11.0,1684.0,0.306,0.014,26944,0.0,0.0,0
1.5,2.0,10.0,8.0,1184.0,8.0,1296.0,0.314,0.012,20736,0.0,0.0,0
1.5,2.0,11.0,7.0,924.0,7.0,1076.0,0.306,0.013,17216,0.0,0.0,0
1.5,2.0,12.0,10.0,1640.0,10.0,1344.0,0.293,0.016,21504,0.0,0.0,0
1.5,2.0,13.0,4.0,464.0,4.0,552.0,0.292,0.017,8832,0.0,0.0,0
1.5,2.0,14.0,10.0,1640.0,10.0,1568.0,0.309,0.013,25088,0.0,0.0,0
1.5,2.0,15.0,10.0,1640.0,10.0,1544.0,0.308,0.015,24704,0.0,0.0,0
1.5,2.0,16.0,8.0,1120.0,8.0,1256.0,0.308,0.016,20096,0.0,0.0,0
1.5,2.0,17.0,9.0,1404.0,9.0,1452.0,0.312,0.012,23232,0.0,0.0,0
1.5,2.0,18.0,10.0,1640.0,10.0,1504.0,0.304,0.015,24064,0.0,0.0,0
1.5,2.0,19.0,4.0,432.0,4.0,560.0,0.292,0.017,8960,0.0,0.0,0
1.5,2.0,20.0,5.0,620.0,5.0,620.0,0.282,0.011,9920,0.0,0.0,0
1.5,2.0,21.0,7.0,924.0,7.0,1076.0,0.306,0.013,17216,0.0,0.0,0
1.5,2.0,22.0,1.0,92.0,1.0,108.0,0.27,0.0,1728,0.0,0.0,0
1.5,2.0,23.0,3.0,324.0,3.0,348.0,0.277,0.006,5568,0.0,0.0,0
1.5,2.0,24.0,8.0,1184.0,8.0,1080.0,0.29,0.019,17280,0.0,0.0,0
1.5,2.0,25.0,10.0,1640.0,10.0,1504.0,0.303,0.014,24064,0.0,0.0,0
1.5,2.0,26.0,3.0,324.0,3.0,372.0,0.283,0.025,5952,0.0,0.0,0
1.5,2.0,27.0,5.0,620.0,5.0,676.0,0.29,0.01,10816,0.0,0.0,0
1.5,2.0,28.0,13.0,2444.0,13.0,1988.0,0.307,0.012,31808,0.0,0.0,0
1.5,2.0,29.0,9.0,1404.0,9.0,1348.0,0.303,0.018,21568,0.0,0.0,0
1.5,2.0,30.0,7.0,924.0,7.0,932.0,0.289,0.018,14912,0.0,0.0,0
2.0,2.5,0.0,7.0,980.0,7.0,1156.0,0.316,0.008,18496,0.0,0.0,0
2.0,2.5,1.0,3.0,324.0,3.0,348.0,0.277,0.006,5568,0.0,0.0,0
2.0,2.5,2.0,4.0,464.0,4.0,464.0,0.28,0.008,7424,0.0,0.0,0
2.0,2.5,3.0,9.0,1404.0,8.0,1128.0,0.299,0.012,18048,0.0,0.0,0
2.0,2.5,4.0,5.0,620.0,5.0,692.0,0.296,0.009,11072,0.0,0.0,0
2.0,2.5,5.0,3.0,372.0,5.0,652.0,0.292,0.022,10432,0.0,0.0,0
2.0,2.5,6.0,7.0,980.0,7.0,1132.0,0.314,0.01,18112,0.0,0.0,0
2.0,2.5,7.0,9.0,1404.0,9.0,1452.0,0.313,0.01,23232,0.0,0.0,0
2.0,2.5,8.0,7.0,980.0,7.0,1116.0,0.307,0.015,17856,0.0,0.0,0
2.0,2.5,9.0,11.0,1892.0,11.0,1708.0,0.307,0.013,27328,0.0,0.0,0
2.0,2.5,10.0,8.0,1184.0,8.0,1296.0,0.315,0.009,20736,0.0,0.0,0
2.0,2.5,11.0,7.0,980.0,7.0,1092.0,0.306,0.01,17472,0.0,0.0,0
2.0,2.5,12.0,10.0,1640.0,10.0,1408.0,0.295,0.011,22528,0.0,0.0,0
2.0,2.5,13.0,4.0,464.0,4.0,568.0,0.295,0.013,9088,0.0,0.0,0
2.0,2.5,14.0,10.0,1640.0,10.0,1584.0,0.311,0.01,25344,0.0,0.0,0
2.0,2.5,15.0,10.0,1640.0,10.0,1568.0,0.307,0.013,25088,0.0,0.0,0
2.0,2.5,16.0,8.0,1184.0,8.0,1272.0,0.308,0.014,20352,0.0,0.0,0
2.0,2.5,17.0,9.0,1404.0,9.0,1452.0,0.313,0.01,23232,0.0,0.0,0
2.0,2.5,18.0,10.0,1640.0,9.0,1404.0,0.31,0.01,22464,0.0,0.0,0
2.0,2.5,19.0,4.0,464.0,4.0,568.0,0.295,0.013,9088,0.0,0.0,0
2.0,2.5,20.0,5.0,620.0,5.0,628.0,0.286,0.015,10048,0.0,0.0,0
2.0,2.5,21.0,7.0,980.0,7.0,1092.0,0.306,0.01,17472,0.0,0.0,0
2.0,2.5,22.0,1.0,92.0,1.0,108.0,0.27,0.0,1728,0.0,0.0,0
2.0,2.5,23.0,3.0,324.0,3.0,348.0,0.283,0.006,5568,0.0,0.0,0
2.0,2.5,24.0,8.0,1184.0,8.0,1104.0,0.294,0.014,17664,0.0,0.0,0
