time,node_id,neighbor_id,distance_m,symmetrical_link
1,0,50,246,1
1,0,36,247,1
1,0,3,156,1
1,0,18,238,1
1,0,38,211,1
1,0,41,223,1
1,0,37,220,1
1,1,2,96,1
1,1,5,222,1
1,1,45,217,1
1,2,1,222,1
1,2,5,222,1
1,2,45,217,1
1,3,50,246,1
1,3,0,219,1
1,3,31,228,1
1,3,41,223,1
1,3,27,236,1
1,3,37,220,1
1,4,27,236,1
1,4,20,143,1
1,4,31,228,1
1,5,2,96,0
1,5,26,198,1
1,5,47,223,1
1,5,1,222,1
1,5,45,217,1
1,6,33,246,1
1,6,46,218,1
1,6,7,208,1
1,6,14,247,1
1,6,29,218,1
1,6,49,229,0
1,6,10,244,1
1,6,38,211,0
1,7,17,217,1
1,7,9,220,1
1,7,6,208,1
1,7,40,247,1
1,7,14,247,1
1,7,29,218,1
1,7,49,229,1
1,7,10,244,1
1,7,15,245,1
1,7,28,235,1
1,8,21,215,1
1,8,9,220,1
1,8,16,197,1
1,8,39,245,1
1,8,15,245,1
1,8,25,246,1
1,8,42,194,1
1,8,43,206,1
1,8,35,236,1
1,8,11,220,1
1,9,17,217,1
1,9,8,243,1
1,9,40,247,1
1,9,16,197,0
1,9,7,208,1
1,9,49,229,1
1,9,15,245,1
1,9,42,194,1
1,9,43,206,1
1,9,35,236,1
1,9,28,235,1
1,10,33,246,1
1,10,17,217,1
1,10,46,218,1
1,10,6,208,1
1,10,40,247,1
1,10,7,208,1
1,10,14,247,1
1,10,29,218,1
1,10,49,229,0
1,10,18,238,1
1,10,38,211,0
1,10,32,216,1
1,10,28,235,1
1,11,21,215,1
1,11,8,243,0
1,11,16,197,1
1,11,39,245,1
1,11,25,246,0
1,11,43,206,0
1,11,35,236,1
1,12,50,246,0
1,12,37,220,1
1,12,24,208,0
1,12,48,181,0
1,12,31,228,1
1,12,34,247,1
1,12,25,246,0
1,13,19,208,1
1,13,24,208,1
1,13,48,181,1
1,13,30,224,1
1,14,33,246,1
1,14,17,217,1
1,14,46,218,1
1,14,6,208,1
1,14,40,247,1
1,14,7,208,1
1,14,36,247,1
1,14,29,218,1
1,14,49,229,0
1,14,10,244,1
1,14,18,238,1
1,14,38,211,0
1,14,28,235,1
1,15,17,217,1
1,15,9,220,1
1,15,8,243,1
1,15,40,247,1
1,15,16,197,1
1,15,7,208,1
1,15,39,245,1
1,15,49,229,1
1,15,42,194,1
1,15,43,206,1
1,15,35,236,1
1,15,28,235,1
1,16,21,215,1
1,16,9,220,1
1,16,8,243,1
1,16,11,220,1
1,16,15,245,1
1,16,25,246,1
1,16,43,206,1
1,16,35,236,1
1,16,39,245,1
1,17,9,220,1
1,17,40,247,1
1,17,7,208,1
1,17,14,247,1
1,17,49,229,1
1,17,10,244,1
1,17,15,245,1
1,17,28,235,1
1,18,50,246,1
1,18,46,218,1
1,18,0,219,1
1,18,14,247,1
1,18,36,247,1
1,18,29,218,1
1,18,47,223,1
1,18,10,244,1
1,18,38,211,1
1,18,41,223,1
1,18,28,235,1
1,19,24,208,1
1,19,48,181,1
1,19,30,224,1
1,19,13,184,1
1,20,27,236,1
1,20,4,228,1
1,21,8,243,1
1,21,16,197,1
1,21,11,220,1
1,21,25,246,1
1,21,43,206,1
1,21,35,236,1
1,21,39,245,1
1,22,33,246,1
1,22,44,227,1
1,22,32,216,1
1,24,19,208,1
1,24,37,220,1
1,24,48,181,1
1,24,30,224,1
1,24,13,184,1
1,24,12,228,1
1,24,31,228,1
1,24,34,247,1
1,25,21,215,1
1,25,50,246,1
1,25,8,243,1
1,25,16,197,0
1,25,36,247,1
1,25,34,247,1
1,25,35,236,0
1,25,11,220,1
1,25,37,220,1
1,25,12,228,1
1,26,44,227,1
1,26,5,222,1
1,27,48,181,0
1,27,30,224,1
1,27,20,143,0
1,27,4,228,1
1,27,3,156,0
1,27,31,228,1
1,28,50,246,1
1,28,17,217,1
1,28,9,220,1
1,28,7,208,1
1,28,14,247,1
1,28,36,247,1
1,28,29,218,1
1,28,49,229,0
1,28,10,244,1
1,28,18,238,1
1,28,15,245,1
1,28,35,236,0
1,29,33,246,1
1,29,46,218,1
1,29,6,208,1
1,29,7,208,1
1,29,14,247,1
1,29,10,244,1
1,29,18,238,1
1,29,38,211,1
1,29,28,235,1
1,30,19,208,1
1,30,27,236,1
1,30,24,208,1
1,30,48,181,1
1,30,13,184,1
1,30,31,228,1
1,31,27,236,1
1,31,50,246,1
1,31,37,220,1
1,31,24,208,1
1,31,48,181,1
1,31,30,224,1
1,31,12,228,1
1,31,4,228,1
1,31,3,156,0
1,32,33,246,1
1,32,22,170,1
1,32,10,244,1
1,33,46,218,1
1,33,6,208,1
1,33,22,170,0
1,33,14,247,1
1,33,29,218,1
1,33,10,244,1
1,33,38,211,0
1,33,32,216,1
1,34,50,246,1
1,34,37,220,1
1,34,24,208,0
1,34,36,247,1
1,34,12,228,1
1,34,25,246,1
1,34,35,236,0
1,35,21,215,1
1,35,9,220,1
1,35,8,243,1
1,35,16,197,1
1,35,36,247,1
1,35,34,247,1
1,35,11,220,1
1,35,15,245,1
1,35,25,246,1
1,35,43,206,1
1,35,28,235,1
1,35,39,245,1
1,36,50,246,1
1,36,0,219,1
1,36,14,247,1
1,36,34,247,1
1,36,18,238,1
1,36,25,246,1
1,36,35,236,0
1,36,28,235,1
1,36,37,220,1
1,37,50,246,1
1,37,0,219,0
1,37,24,208,1
1,37,48,181,0
1,37,36,247,0
1,37,12,228,1
1,37,3,156,0
1,37,31,228,1
1,37,34,247,1
1,37,25,246,0
1,38,46,218,1
1,38,0,219,1
1,38,6,208,1
1,38,14,247,1
1,38,36,247,0
1,38,29,218,1
1,38,47,223,1
1,38,10,244,1
1,38,18,238,1
1,38,41,223,1
1,38,28,235,0
1,38,33,246,1
1,39,21,215,0
1,39,8,243,1
1,39,16,197,0
1,39,11,220,1
1,39,15,245,1
1,39,42,194,1
1,39,43,206,1
1,39,35,236,0
1,40,17,217,1
1,40,9,220,1
1,40,7,208,1
1,40,14,247,1
1,40,49,229,1
1,40,10,244,1
1,40,15,245,1
1,41,50,246,1
1,41,0,219,1
1,41,47,223,1
1,41,3,156,1
1,41,18,238,1
1,41,38,211,0
1,42,9,220,1
1,42,8,243,1
1,42,39,245,1
1,42,15,245,1
1,42,43,206,1
1,43,21,215,1
1,43,9,220,1
1,43,8,243,1
1,43,16,197,1
1,43,39,245,1
1,43,15,245,1
1,43,42,194,1
1,43,35,236,1
1,43,11,220,1
1,44,22,170,0
1,44,26,198,1
1,45,2,96,1
1,45,47,223,1
1,45,1,222,1
1,45,5,222,1
1,46,33,246,1
1,46,6,208,1
1,46,14,247,1
1,46,29,218,1
1,46,47,223,1
1,46,10,244,1
1,46,18,238,1
1,46,38,211,1
1,47,46,218,1
1,47,18,238,1
1,47,5,222,1
1,47,38,211,1
1,47,41,223,1
1,47,45,217,1
1,48,19,208,1
1,48,27,236,1
1,48,24,208,1
1,48,30,224,1
1,48,13,184,1
1,48,12,228,1
1,48,31,228,1
1,48,37,220,1
1,49,17,217,1
1,49,9,220,1
1,49,6,208,1
1,49,40,247,1
1,49,7,208,1
1,49,14,247,1
1,49,10,244,1
1,49,15,245,1
1,49,28,235,1
1,50,37,220,1
1,50,0,219,1
1,50,36,247,1
1,50,3,156,0
1,50,31,228,1
1,50,34,247,1
1,50,18,238,1
1,50,25,246,1
1,50,41,223,1
1,50,28,235,1
1,50,12,228,1
1.5,0,50,225,1
1.5,0,36,247,1
1.5,0,3,156,1
1.5,0,18,238,1
1.5,0,38,245,1
1.5,0,41,223,1
1.5,0,37,220,1
1.5,1,2,96,1
1.5,1,5,222,1
1.5,1,45,217,1
1.5,2,1,144,1
1.5,2,5,222,1
1.5,2,45,217,1
1.5,3,50,225,1
1.5,3,0,219,1
1.5,3,31,228,1
1.5,3,41,223,1
1.5,3,27,236,1
1.5,3,37,220,1
1.5,4,27,236,1
1.5,4,20,143,1
1.5,4,31,228,1
1.5,5,26,198,1
1.5,5,47,150,1
1.5,5,1,144,1
1.5,5,45,217,1
1.5,6,33,171,1
1.5,6,46,218,1
1.5,6,7,208,1
1.5,6,14,247,1
1.5,6,29,218,1
1.5,6,49,229,1
1.5,6,10,244,1
1.5,6,38,245,1
1.5,7,17,217,1
1.5,7,9,220,1
1.5,7,6,208,1
1.5,7,40,247,1
1.5,7,14,247,1
1.5,7,29,218,1
1.5,7,49,229,1
1.5,7,10,244,1
1.5,7,15,245,1
1.5,7,28,194,1
1.5,8,21,215,1
1.5,8,9,220,1
1.5,8,16,216,1
1.5,8,39,245,1
1.5,8,15,245,1
1.5,8,25,246,1
1.5,8,42,194,1
1.5,8,43,206,1
1.5,8,35,238,1
1.5,8,11,220,1
1.5,9,17,217,1
1.5,9,8,200,1
1.5,9,40,247,1
1.5,9,16,216,1
1.5,9,7,208,1
1.5,9,49,229,1
1.5,9,15,245,1
1.5,9,42,194,1
1.5,9,43,206,1
1.5,9,35,238,1
1.5,9,28,194,1
1.5,10,33,171,1
1.5,10,17,217,1
1.5,10,46,218,1
1.5,10,6,208,1
1.5,10,40,247,1
1.5,10,7,208,1
