time,node_id,is_mpr,one_hop_neighbors,sym_one_hop_neighbors,two_hop_neighbors,sym_two_hop_neighbors,mpr_set_size,mpr_selector_set_size,mpr_changes,olsr_hello_sent,olsr_hello_received,olsr_tc_generated,olsr_tc_retransmitted,olsr_tc_recved
1,0,0,7,7,0,0,0,0,0,2,13,0,0,0
1,1,0,3,3,0,0,0,0,0,2,6,0,0,0
1,2,0,3,3,0,0,0,0,0,2,6,0,0,0
1,3,0,6,6,0,0,0,0,0,2,10,0,0,0
1,4,0,3,3,0,0,0,0,0,2,6,0,0,0
1,5,0,5,4,0,0,0,0,0,2,9,0,0,0
1,6,0,8,6,0,0,0,0,0,2,14,0,0,0
1,7,0,10,10,0,0,0,0,0,2,20,0,0,0
1,8,0,10,10,0,0,0,0,0,2,19,0,0,0
1,9,0,11,10,0,0,0,0,0,2,21,0,0,0
1,10,0,13,11,0,0,0,0,0,2,24,0,0,0
1,11,0,7,4,0,0,0,0,0,2,14,0,0,0
1,12,0,7,3,0,0,0,0,0,2,12,0,0,0
1,13,0,4,4,0,0,0,0,0,2,8,0,0,0
1,14,0,13,11,0,0,0,0,0,2,24,0,0,0
1,15,0,12,12,0,0,0,0,0,2,24,0,0,0
1,16,0,9,9,0,0,0,0,0,2,17,0,0,0
1,17,0,8,8,0,0,0,0,0,2,16,0,0,0
1,18,0,11,11,0,0,0,0,0,2,22,0,0,0
1,19,0,4,4,0,0,0,0,0,2,8,0,0,0
1,20,0,2,2,0,0,0,0,0,2,4,0,0,0
1,21,0,7,7,0,0,0,0,0,2,13,0,0,0
1,22,0,3,3,0,0,0,0,0,2,6,0,0,0
1,23,0,0,0,0,0,0,0,0,2,0,0,0,0
1,24,0,8,8,0,0,0,0,0,2,16,0,0,0
1,25,0,10,8,0,0,0,0,0,2,15,0,0,0
1,26,0,2,2,0,0,0,0,0,2,4,0,0,0
1,27,0,6,3,0,0,0,0,0,2,9,0,0,0
1,28,0,12,10,0,0,0,0,0,2,22,0,0,0
1,29,0,9,9,0,0,0,0,0,2,18,0,0,0
1,30,0,6,6,0,0,0,0,0,2,12,0,0,0
1,31,0,9,8,0,0,0,0,0,2,17,0,0,0
1,32,0,3,3,0,0,0,0,0,2,6,0,0,0
1,33,0,8,6,0,0,0,0,0,2,14,0,0,0
1,34,0,7,5,0,0,0,0,0,2,12,0,0,0
1,35,0,12,12,0,0,0,0,0,2,23,0,0,0
1,36,0,9,8,0,0,0,0,0,2,16,0,0,0
1,37,0,10,5,0,0,0,0,0,2,18,0,0,0
1,38,0,12,10,0,0,0,0,0,2,23,0,0,0
1,39,0,8,5,0,0,0,0,0,2,15,0,0,0
1,40,0,7,7,0,0,0,0,0,2,14,0,0,0
1,41,0,6,5,0,0,0,0,0,2,11,0,0,0
1,42,0,5,5,0,0,0,0,0,2,10,0,0,0
1,43,0,9,9,0,0,0,0,0,2,17,0,0,0
1,44,0,2,1,0,0,0,0,0,2,3,0,0,0
1,45,0,4,4,0,0,0,0,0,2,8,0,0,0
1,46,0,8,8,0,0,0,0,0,2,16,0,0,0
1,47,0,6,6,0,0,0,0,0,2,12,0,0,0
1,48,0,8,8,0,0,0,0,0,2,15,0,0,0
1,49,0,9,9,0,0,0,0,0,2,18,0,0,0
1,50,0,11,10,0,0,0,0,0,2,20,0,0,0
1.5,0,0,7,7,14,14,4,0,6,1,7,0,0,0
1.5,1,0,3,3,2,2,1,0,1,1,3,0,0,0
1.5,2,0,3,3,2,2,1,0,1,1,3,0,0,0
1.5,3,0,6,6,12,12,4,0,6,1,6,0,0,0
1.5,4,0,3,3,6,6,1,0,1,1,3,0,0,0
