time,node_id,initial_energy,remaining_energy,data_mode,data_rate_mbps,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_m_s,yaw_deg,pitch_deg
1,0,1e+06,999999,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
1,1,137.599,136.781,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
1,2,143.193,142.374,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
1,3,108.438,107.62,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
1,4,132.15,131.331,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
1,5,123.721,122.903,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
1,6,149.26,148.443,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
1,7,137.601,136.784,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
1,8,103.011,102.194,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
1,9,117.148,116.331,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
1,10,118.002,117.185,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
1,11,112.185,111.367,DsssRate11Mbps,11,41.7598,316.002,171.632,0,0,0,0,0,0
1,12,100.961,100.144,DsssRate5_5Mbps,5.5,218.982,589.898,124.2,0,0,0,0,0,0
1,13,148.257,147.439,DsssRate11Mbps,11,153.552,851.685,158.832,0,0,0,0,0,0
1,14,130.212,129.395,DsssRate11Mbps,11,535.727,226.118,125.801,0,0,0,0,0,0
1,15,110.156,109.339,DsssRate5_5Mbps,5.5,252.415,144.059,70.4472,0,0,0,0,0,0
1,16,123.63,122.813,DsssRate1Mbps,1,145.058,308.362,90.5491,0,0,0,0,0,0
1,17,122.455,121.638,DsssRate5_5Mbps,5.5,424.01,68.2637,181.332,0,0,0,0,0,0
1,18,127.18,126.363,DsssRate1Mbps,1,579.649,367.693,156.043,0,0,0,0,0,0
1,19,108.428,107.61,DsssRate1Mbps,1,121.554,877.603,149.552,0,0,0,0,0,0
1,20,109.989,109.171,DsssRate11Mbps,11,647.533,881.633,160.777,0,0,0,0,0,0
1,21,124.574,123.756,DsssRate1Mbps,1,91.2849,345.173,21.2331,0,0,0,0,0,0
1,22,137.847,137.029,DsssRate11Mbps,11,952.893,70.2772,136.261,0,0,0,0,0,0
1,23,125.789,124.97,DsssRate2Mbps,2,887.367,962.775,164.675,0,0,0,0,0,0
1,24,142.487,141.67,DsssRate5_5Mbps,5.5,284.179,751.972,183.85,0,0,0,0,0,0
1,25,101.389,100.571,DsssRate5_5Mbps,5.5,185.342,441.177,60.9281,0,0,0,0,0,0
1,26,106.83,106.011,DsssRate5_5Mbps,5.5,933.946,336.264,40.4627,0,0,0,0,0,0
1,27,130.352,129.534,DsssRate11Mbps,11,513.203,839.18,110.133,0,0,0,0,0,0
1,28,125.326,124.51,DsssRate11Mbps,11,414.255,271.509,155.692,0,0,0,0,0,0
1,29,121.865,121.048,DsssRate11Mbps,11,615.651,252.464,72.2631,0,0,0,0,0,0
1,30,141.516,140.698,DsssRate2Mbps,2,298.629,854.143,45.5176,0,0,0,0,0,0
1,31,142.703,141.885,DsssRate5_5Mbps,5.5,399.043,724.129,79.5315,0,0,0,0,0,0
1,32,114.72,113.902,DsssRate5_5Mbps,5.5,792.519,42.4349,186.634,0,0,0,0,0,0
1,33,148.606,147.788,DsssRate5_5Mbps,5.5,729.783,147.199,66.5613,0,0,0,0,0,0
1,34,107.87,107.053,DsssRate2Mbps,2,203.595,537.804,195.857,0,0,0,0,0,0
1,35,119.13,118.313,DsssRate11Mbps,11,181.844,303.651,158.698,0,0,0,0,0,0
1,36,107.258,106.441,DsssRate2Mbps,2,390.288,386.08,138.195,0,0,0,0,0,0
1,37,112.562,111.745,DsssRate1Mbps,1,338.688,595.848,95.4319,0,0,0,0,0,0
1,38,125.682,124.865,DsssRate11Mbps,11,607.975,359.912,54.5267,0,0,0,0,0,0
1,39,143.739,142.921,DsssRate5_5Mbps,5.5,8.38473,158.929,90.0037,0,0,0,0,0,0
1,40,118.428,117.61,DsssRate2Mbps,2,428.113,7.37638,166.724,0,0,0,0,0,0
1,41,149.066,148.248,DsssRate2Mbps,2,602.904,559.305,44.7815,0,0,0,0,0,0
1,42,147.45,146.632,DsssRate2Mbps,2,127.711,37.8837,137.552,0,0,0,0,0,0
1,43,101.487,100.67,DsssRate11Mbps,11,165.053,191.842,62.5812,0,0,0,0,0,0
1,44,133.769,132.951,DsssRate1Mbps,1,985.94,291.685,178.646,0,0,0,0,0,0
1,45,110.246,109.428,DsssRate2Mbps,2,828.154,657.964,189.131,0,0,0,0,0,0
1,46,124.443,123.625,DsssRate5_5Mbps,5.5,679.819,315.183,52.6972,0,0,0,0,0,0
1,47,135,134.182,DsssRate1Mbps,1,745.565,456.887,183.187,0,0,0,0,0,0
1,48,142,141.183,DsssRate11Mbps,11,282.426,794.289,134.315,0,0,0,0,0,0
1,49,121.178,120.361,DsssRate5_5Mbps,5.5,461.312,58.3488,109.071,0,0,0,0,0,0
1,50,132.746,131.929,DsssRate2Mbps,2,410.74,506.174,136.135,0,0,0,0,0,0
1.5,0,1e+06,999999,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
1.5,1,137.599,136.372,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
1.5,2,143.193,141.965,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
1.5,3,108.438,107.211,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
1.5,4,132.15,130.922,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
1.5,5,123.721,122.494,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
1.5,6,149.26,148.034,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
1.5,7,137.601,136.376,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
1.5,8,103.011,101.785,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
1.5,9,117.148,115.922,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
1.5,10,118.002,116.777,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
1.5,11,112.185,110.958,DsssRate11Mbps,11,41.7598,316.002,171.632,0,0,0,0,0,0
1.5,12,100.961,99.735,DsssRate5_5Mbps,5.5,218.982,589.898,124.2,0,0,0,0,0,0
1.5,13,148.257,147.03,DsssRate11Mbps,11,153.552,851.685,158.832,0,0,0,0,0,0
1.5,14,130.212,128.987,DsssRate11Mbps,11,535.727,226.118,125.801,0,0,0,0,0,0
1.5,15,110.156,108.931,DsssRate5_5Mbps,5.5,252.415,144.059,70.4472,0,0,0,0,0,0
1.5,16,123.63,122.404,DsssRate1Mbps,1,145.058,308.362,90.5491,0,0,0,0,0,0
1.5,17,122.455,121.229,DsssRate5_5Mbps,5.5,424.01,68.2637,181.332,0,0,0,0,0,0
1.5,18,127.18,125.954,DsssRate1Mbps,1,579.649,367.693,156.043,0,0,0,0,0,0
1.5,19,108.428,107.201,DsssRate1Mbps,1,121.554,877.603,149.552,0,0,0,0,0,0
1.5,20,109.989,108.762,DsssRate11Mbps,11,647.533,881.633,160.777,0,0,0,0,0,0
1.5,21,124.574,123.347,DsssRate1Mbps,1,91.2849,345.173,21.2331,0,0,0,0,0,0
1.5,22,137.847,136.62,DsssRate11Mbps,11,952.893,70.2772,136.261,0,0,0,0,0,0
1.5,23,125.789,124.561,DsssRate2Mbps,2,887.367,962.775,164.675,0,0,0,0,0,0
1.5,24,142.487,141.261,DsssRate5_5Mbps,5.5,284.179,751.972,183.85,0,0,0,0,0,0
1.5,25,101.389,100.163,DsssRate5_5Mbps,5.5,185.342,441.177,60.9281,0,0,0,0,0,0
1.5,26,106.83,105.602,DsssRate5_5Mbps,5.5,933.946,336.264,40.4627,0,0,0,0,0,0
1.5,27,130.352,129.125,DsssRate11Mbps,11,513.203,839.18,110.133,0,0,0,0,0,0
1.5,28,125.326,124.102,DsssRate11Mbps,11,414.255,271.509,155.692,0,0,0,0,0,0
1.5,29,121.865,120.639,DsssRate11Mbps,11,615.651,252.464,72.2631,0,0,0,0,0,0
1.5,30,141.516,140.289,DsssRate2Mbps,2,298.629,854.143,45.5176,0,0,0,0,0,0
1.5,31,142.703,141.477,DsssRate5_5Mbps,5.5,399.043,724.129,79.5315,0,0,0,0,0,0
1.5,32,114.72,113.493,DsssRate5_5Mbps,5.5,792.519,42.4349,186.634,0,0,0,0,0,0
1.5,33,148.606,147.38,DsssRate5_5Mbps,5.5,729.783,147.199,66.5613,0,0,0,0,0,0
1.5,34,107.87,106.644,DsssRate2Mbps,2,203.595,537.804,195.857,0,0,0,0,0,0
1.5,35,119.13,117.905,DsssRate11Mbps,11,181.844,303.651,158.698,0,0,0,0,0,0
1.5,36,107.258,106.032,DsssRate2Mbps,2,390.288,386.08,138.195,0,0,0,0,0,0
1.5,37,112.562,111.336,DsssRate1Mbps,1,338.688,595.848,95.4319,0,0,0,0,0,0
1.5,38,125.682,124.457,DsssRate11Mbps,11,607.975,359.912,54.5267,0,0,0,0,0,0
1.5,39,143.739,142.513,DsssRate5_5Mbps,5.5,8.38473,158.929,90.0037,0,0,0,0,0,0
1.5,40,118.428,117.201,DsssRate2Mbps,2,428.113,7.37638,166.724,0,0,0,0,0,0
1.5,41,149.066,147.839,DsssRate2Mbps,2,602.904,559.305,44.7815,0,0,0,0,0,0
1.5,42,147.45,146.223,DsssRate2Mbps,2,127.711,37.8837,137.552,0,0,0,0,0,0
1.5,43,101.487,100.262,DsssRate11Mbps,11,165.053,191.842,62.5812,0,0,0,0,0,0
1.5,44,133.769,132.542,DsssRate1Mbps,1,985.94,291.685,178.646,0,0,0,0,0,0
1.5,45,110.246,109.019,DsssRate2Mbps,2,828.154,657.964,189.131,0,0,0,0,0,0
1.5,46,124.443,123.217,DsssRate5_5Mbps,5.5,679.819,315.183,52.6972,0,0,0,0,0,0
1.5,47,135,133.773,DsssRate1Mbps,1,745.565,456.887,183.187,0,0,0,0,0,0
1.5,48,142,140.774,DsssRate11Mbps,11,282.426,794.289,134.315,0,0,0,0,0,0
1.5,49,121.178,119.952,DsssRate5_5Mbps,5.5,461.312,58.3488,109.071,0,0,0,0,0,0
1.5,50,132.746,131.521,DsssRate2Mbps,2,410.74,506.174,136.135,0,0,0,0,0,0
2,0,1e+06,999998,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
2,1,137.599,135.963,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
2,2,143.193,141.556,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
2,3,108.438,106.803,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
2,4,132.15,130.513,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
2,5,123.721,122.085,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
2,6,149.26,147.626,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
2,7,137.601,135.967,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
2,8,103.011,101.377,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
2,9,117.148,115.514,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
2,10,118.002,116.369,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
2,11,112.185,110.55,DsssRate11Mbps,11,41.7598,316.002,171.632,0,0,0,0,0,0
2,12,100.961,99.3263,DsssRate5_5Mbps,5.5,218.982,589.898,124.2,0,0,0,0,0,0
2,13,148.257,146.621,DsssRate11Mbps,11,153.552,851.685,158.832,0,0,0,0,0,0
2,14,130.212,128.579,DsssRate11Mbps,11,535.727,226.118,125.801,0,0,0,0,0,0
2,15,110.156,108.523,DsssRate5_5Mbps,5.5,252.415,144.059,70.4472,0,0,0,0,0,0
2,16,123.63,121.996,DsssRate1Mbps,1,145.058,308.362,90.5491,0,0,0,0,0,0
2,17,122.455,120.82,DsssRate5_5Mbps,5.5,424.01,68.2637,181.332,0,0,0,0,0,0
2,18,127.18,125.546,DsssRate1Mbps,1,579.649,367.693,156.043,0,0,0,0,0,0
2,19,108.428,106.792,DsssRate1Mbps,1,121.554,877.603,149.552,0,0,0,0,0,0
2,20,109.989,108.352,DsssRate11Mbps,11,647.533,881.633,160.777,0,0,0,0,0,0
