time,node_id,initial_energy,remaining_energy,data_mode,data_rate_mbps,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_m_s,yaw_deg,pitch_deg
1,0,1e+06,999999,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
1,1,129.8,128.981,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
1,2,144.895,144.076,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
1,3,128.079,127.261,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
1,4,122.492,121.674,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
1,5,136.212,135.394,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
1,6,133.021,132.203,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
1,7,126.619,125.802,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
1,8,106.524,105.706,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
1,9,123.774,122.956,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
1,10,110.335,109.517,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
1,11,145.229,144.411,DsssRate11Mbps,11,41.7598,316.002,171.632,0,0,0,0,0,0
1,12,101.11,100.292,DsssRate5_5Mbps,5.5,218.982,589.898,124.2,0,0,0,0,0,0
1,13,113.072,112.254,DsssRate11Mbps,11,153.552,851.685,158.832,0,0,0,0,0,0
1,14,112.857,112.039,DsssRate11Mbps,11,535.727,226.118,125.801,0,0,0,0,0,0
1,15,129.388,128.57,DsssRate5_5Mbps,5.5,252.415,144.059,70.4472,0,0,0,0,0,0
1,16,112.18,111.363,DsssRate1Mbps,1,145.058,308.362,90.5491,0,0,0,0,0,0
1,17,105.605,104.787,DsssRate5_5Mbps,5.5,424.01,68.2637,181.332,0,0,0,0,0,0
1,18,139.579,138.761,DsssRate1Mbps,1,579.649,367.693,156.043,0,0,0,0,0,0
1,19,116.774,115.956,DsssRate1Mbps,1,121.554,877.603,149.552,0,0,0,0,0,0
1,20,116.512,115.694,DsssRate11Mbps,11,647.533,881.633,160.777,0,0,0,0,0,0
1,21,119.308,118.49,DsssRate1Mbps,1,91.2849,345.173,21.2331,0,0,0,0,0,0
1,22,122.531,121.712,DsssRate11Mbps,11,952.893,70.2772,136.261,0,0,0,0,0,0
1,23,103.353,102.534,DsssRate2Mbps,2,887.367,962.775,164.675,0,0,0,0,0,0
1,24,113.495,112.677,DsssRate5_5Mbps,5.5,284.179,751.972,183.85,0,0,0,0,0,0
1,25,140.92,140.102,DsssRate5_5Mbps,5.5,185.342,441.177,60.9281,0,0,0,0,0,0
1,26,117.181,116.362,DsssRate5_5Mbps,5.5,933.946,336.264,40.4627,0,0,0,0,0,0
1,27,149.774,148.956,DsssRate11Mbps,11,513.203,839.18,110.133,0,0,0,0,0,0
1,28,110.651,109.833,DsssRate11Mbps,11,414.255,271.509,155.692,0,0,0,0,0,0
1,29,145.079,144.261,DsssRate11Mbps,11,615.651,252.464,72.2631,0,0,0,0,0,0
1,30,119.609,118.791,DsssRate2Mbps,2,298.629,854.143,45.5176,0,0,0,0,0,0
1.5,0,1e+06,999999,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
1.5,1,129.8,128.572,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
