time,node_id,neighbor_id,distance_m,symmetrical_link
2,2,5,222,1
2,2,1,222,1
2,3,27,224,1
2,3,0,219,1
2,4,27,224,1
2,4,20,149,1
2,5,2,206,1
2,5,1,222,1
2,5,26,198,1
2,6,7,208,1
2,6,29,218,1
2,6,10,238,1
2,6,14,201,1
2,7,28,234,1
2,7,9,216,1
2,7,17,217,1
2,7,15,222,1
2,7,29,218,1
2,7,10,238,1
2,7,14,201,1
2,7,6,164,1
2,8,11,220,1
2,8,9,216,1
2,8,15,222,1
2,8,25,243,1
2,8,16,216,1
2,8,21,161,1
2,9,28,234,1
2,9,7,208,1
2,9,15,222,1
2,9,16,216,1
2,9,8,243,1
2,9,17,217,1
2,10,28,234,1
2,10,7,208,1
2,10,29,218,1
2,10,14,201,1
2,10,6,164,1
2,10,17,217,1
2,10,18,238,1
2,11,25,243,1
2,11,16,216,1
2,11,21,161,1
2,11,8,243,1
2,12,25,243,1
2,12,24,208,1
2,13,30,224,1
2,13,19,208,1
2,13,24,208,1
2,14,28,234,1
2,14,7,208,1
2,14,29,218,1
2,14,10,238,1
2,14,6,164,1
2,14,17,217,1
2,14,18,238,1
2,15,28,234,1
2,15,7,208,1
2,15,9,216,1
2,15,16,216,1
2,15,8,243,1
2,15,17,217,1
2,16,11,220,1
2,16,9,216,1
2,16,15,222,1
2,16,25,243,1
2,16,21,161,1
2,16,8,243,1
2,17,28,234,1
2,17,7,208,1
2,17,9,216,1
2,17,15,222,1
2,17,10,238,1
2,17,14,201,1
2,18,28,234,1
2,18,29,218,1
2,18,0,219,1
2,18,10,238,1
2,18,14,201,1
2,19,30,224,1
2,19,13,184,1
2,19,24,208,1
2,20,4,143,1
2,20,27,224,1
2,21,11,220,1
2,21,25,243,1
2,21,16,216,1
2,21,8,243,1
2,24,30,224,1
2,24,13,184,1
2,24,19,208,1
2,24,12,184,1
2,25,11,220,1
2,25,16,216,1
2,25,21,161,1
2,25,8,243,1
2,25,12,184,1
2,26,5,222,1
2,27,30,224,1
2,27,4,143,1
2,27,3,222,1
2,27,20,149,1
2,28,7,208,1
2,28,9,216,1
2,28,15,222,1
2,28,29,218,1
2,28,10,238,1
2,28,14,201,1
2,28,17,217,1
2,28,18,238,1
2,29,28,234,1
2,29,7,208,1
2,29,10,238,1
2,29,14,201,1
2,29,6,164,1
2,29,18,238,1
2,30,13,184,1
2,30,19,208,1
2,30,27,224,1
2,30,24,208,1
2.5,0,3,222,1
2.5,0,18,238,1
2.5,1,2,206,1
2.5,1,5,222,1
2.5,2,5,222,1
2.5,2,1,222,1
2.5,3,27,224,1
2.5,3,0,219,1
2.5,4,27,224,1
2.5,4,20,149,1
2.5,5,2,206,1
2.5,5,1,222,1
2.5,5,26,198,1
2.5,6,7,208,1
2.5,6,29,218,1
2.5,6,10,238,1
2.5,6,14,201,1
2.5,7,28,234,1
2.5,7,9,216,1
2.5,7,17,217,1
2.5,7,15,222,1
2.5,7,29,218,1
2.5,7,10,238,1
2.5,7,14,201,1
2.5,7,6,164,1
2.5,8,11,220,1
2.5,8,9,216,1
2.5,8,15,222,1
2.5,8,25,243,1
2.5,8,16,216,1
2.5,8,21,161,1
2.5,9,28,234,1
2.5,9,7,208,1
2.5,9,15,222,1
2.5,9,16,216,1
2.5,9,8,243,1
2.5,9,17,217,1
2.5,10,28,234,1
2.5,10,7,208,1
2.5,10,29,218,1
2.5,10,14,201,1
2.5,10,6,164,1
2.5,10,17,217,1
2.5,10,18,238,1
2.5,11,25,243,1
2.5,11,16,216,1
2.5,11,21,161,1
2.5,11,8,243,1
2.5,12,25,243,1
2.5,12,24,208,1
2.5,13,30,206,1
2.5,13,19,208,1
2.5,13,24,208,1
2.5,14,28,234,1
2.5,14,7,208,1
2.5,14,29,218,1
2.5,14,10,238,1
2.5,14,6,164,1
2.5,14,17,217,1
2.5,14,18,238,1
2.5,15,28,234,1
2.5,15,7,208,1
2.5,15,9,216,1
2.5,15,16,216,1
2.5,15,8,243,1
2.5,15,17,217,1
2.5,16,11,220,1
2.5,16,9,216,1
2.5,16,15,222,1
2.5,16,25,243,1
2.5,16,21,161,1
2.5,16,8,243,1
2.5,17,28,234,1
2.5,17,7,208,1
2.5,17,9,216,1
2.5,17,15,222,1
2.5,17,10,238,1
2.5,17,14,201,1
2.5,18,28,234,1
2.5,18,29,218,1
2.5,18,0,219,1
2.5,18,10,238,1
2.5,18,14,201,1
2.5,19,30,206,1
2.5,19,13,184,1
2.5,19,24,208,1
2.5,20,4,143,1
2.5,20,27,224,1
2.5,21,11,220,1
2.5,21,25,243,1
2.5,21,16,216,1
2.5,21,8,243,1
2.5,24,30,206,1
2.5,24,13,184,1
2.5,24,19,208,1
2.5,24,12,184,1
2.5,25,11,220,1
2.5,25,16,216,1
2.5,25,21,161,1
2.5,25,8,243,1
2.5,25,12,184,1
2.5,26,5,222,1
2.5,27,30,206,1
2.5,27,4,143,1
2.5,27,3,222,1
2.5,27,20,149,1
2.5,28,7,208,1
2.5,28,9,216,1
2.5,28,15,222,1
2.5,28,29,218,1
2.5,28,10,238,1
2.5,28,14,201,1
2.5,28,17,217,1
2.5,28,18,238,1
2.5,29,28,234,1
2.5,29,7,208,1
2.5,29,10,238,1
2.5,29,14,201,1
2.5,29,6,164,1
2.5,29,18,238,1
2.5,30,13,184,1
2.5,30,19,208,1
2.5,30,27,224,1
2.5,30,24,208,1
3,0,3,222,1
3,0,18,151,1
3,1,2,206,1
3,1,5,222,1
3,2,5,222,1
3,2,1,222,1
3,3,27,224,1
3,3,0,219,1
3,4,27,224,1
3,4,20,149,1
3,5,2,206,1
3,5,1,222,1
3,5,26,198,1
3,6,7,208,1
3,6,29,218,1
3,6,10,238,1
3,6,14,201,1
3,7,28,234,1
3,7,9,216,1
3,7,17,217,1
3,7,15,222,1
3,7,29,218,1
3,7,10,238,1
3,7,14,201,1
3,7,6,164,1
3,8,11,220,1
3,8,9,216,1
3,8,15,222,1
3,8,25,243,1
3,8,16,216,1
3,8,21,161,1
3,9,28,234,1
3,9,7,208,1
3,9,15,222,1
3,9,16,216,1
3,9,8,243,1
3,9,17,217,1
3,10,28,234,1
3,10,7,208,1
3,10,29,218,1
3,10,14,201,1
3,10,6,164,1
3,10,17,217,1
3,10,18,151,1
3,11,25,243,1
3,11,16,216,1
3,11,21,161,1
3,11,8,243,1
3,12,25,243,1
3,12,24,208,1
3,13,30,224,1
3,13,19,208,1
3,13,24,208,1
3,14,28,234,1
3,14,7,208,1
3,14,29,218,1
3,14,10,238,1
3,14,6,164,1
3,14,17,217,1
3,14,18,151,1
3,15,28,234,1
3,15,7,208,1
3,15,9,216,1
3,15,16,216,1
3,15,8,243,1
3,15,17,217,1
3,16,11,220,1
3,16,9,216,1
3,16,15,222,1
3,16,25,243,1
3,16,21,161,1
3,16,8,243,1
3,17,28,234,1
3,17,7,208,1
3,17,9,216,1
3,17,15,222,1
3,17,10,238,1
3,17,14,201,1
3,18,28,234,1
3,18,29,218,1
3,18,0,219,1
3,18,10,238,1
3,18,14,201,1
3,19,30,224,1
3,19,13,184,1
3,19,24,208,1
3,20,4,143,1
3,20,27,224,1
