time,node_id,is_mpr,one_hop_neighbors,sym_one_hop_neighbors,two_hop_neighbors,sym_two_hop_neighbors,mpr_set_size,mpr_selector_set_size,mpr_changes,olsr_hello_sent,olsr_hello_received,olsr_tc_generated,olsr_tc_retransmitted,olsr_tc_recved
1,0,0,2,2,0,0,0,0,0,2,3,0,0,0
1,1,0,2,2,0,0,0,0,0,2,4,0,0,0
1,2,0,2,2,0,0,0,0,0,2,4,0,0,0
1,3,0,2,2,0,0,0,0,0,2,4,0,0,0
1,4,0,2,2,0,0,0,0,0,2,4,0,0,0
1,5,0,3,2,0,0,0,0,0,2,5,0,0,0
1,6,0,4,4,0,0,0,0,0,2,8,0,0,0
1,7,0,8,8,0,0,0,0,0,2,16,0,0,0
1,8,0,6,6,0,0,0,0,0,2,12,0,0,0
1,9,0,6,6,0,0,0,0,0,2,11,0,0,0
1,10,0,7,7,0,0,0,0,0,2,12,0,0,0
1,11,0,4,4,0,0,0,0,0,2,8,0,0,0
1,12,0,2,2,0,0,0,0,0,2,4,0,0,0
1,13,0,3,3,0,0,0,0,0,2,6,0,0,0
1,14,0,7,7,0,0,0,0,0,2,12,0,0,0
1,15,0,6,6,0,0,0,0,0,2,11,0,0,0
1,16,0,6,6,0,0,0,0,0,2,12,0,0,0
1,17,0,6,1,0,0,0,0,0,2,12,0,0,0
1,18,0,5,0,0,0,0,0,0,2,10,0,0,0
1,19,0,3,3,0,0,0,0,0,2,6,0,0,0
1,20,0,2,2,0,0,0,0,0,2,4,0,0,0
1,21,0,4,4,0,0,0,0,0,2,8,0,0,0
1,22,0,0,0,0,0,0,0,0,2,0,0,0,0
1,23,0,0,0,0,0,0,0,0,2,0,0,0,0
1,24,0,4,4,0,0,0,0,0,2,8,0,0,0
1,25,0,5,4,0,0,0,0,0,2,9,0,0,0
1,26,0,1,1,0,0,0,0,0,2,2,0,0,0
1,27,0,4,4,0,0,0,0,0,2,8,0,0,0
1,28,0,8,8,0,0,0,0,0,2,14,0,0,0
1,29,0,6,6,0,0,0,0,0,2,11,0,0,0
1,30,0,4,4,0,0,0,0,0,2,8,0,0,0
1.5,0,0,2,2,1,1,1,0,1,1,2,0,0,0
1.5,1,0,2,2,0,0,0,0,0,1,2,0,0,0
1.5,2,0,2,2,0,0,0,0,0,1,2,0,0,0
1.5,3,0,2,2,4,4,2,0,2,1,2,0,0,0
1.5,4,0,2,2,2,2,1,0,1,1,2,0,0,0
1.5,5,0,3,3,0,0,0,0,0,1,2,0,0,0
1.5,6,0,4,4,5,5,2,0,4,1,4,0,0,0
1.5,7,0,8,8,3,3,2,0,2,1,8,0,0,0
1.5,8,0,6,6,3,3,1,0,1,1,4,0,0,0
1.5,9,0,6,6,8,8,3,0,5,1,6,0,0,0
1.5,10,0,7,7,2,2,1,0,1,1,6,0,0,0
1.5,11,0,4,4,2,2,1,0,3,1,4,0,0,0
1.5,12,0,2,2,7,7,2,0,2,1,2,0,0,0
1.5,13,0,3,3,2,2,2,0,2,1,3,0,0,0
1.5,14,0,7,7,2,2,1,0,1,1,6,0,0,0
1.5,15,0,6,6,8,8,3,0,5,1,6,0,0,0
1.5,16,0,6,6,3,3,1,0,1,1,4,0,0,0
1.5,17,0,6,6,5,5,2,0,8,1,6,0,0,0
1.5,18,0,5,5,6,6,3,0,5,1,5,0,0,0
1.5,19,0,3,3,2,2,2,0,2,1,3,0,0,0
1.5,20,0,2,2,2,2,1,0,1,1,2,0,0,0
1.5,21,0,4,4,2,2,1,0,3,1,3,0,0,0
1.5,22,0,0,0,0,0,0,0,0,1,0,0,0,0
1.5,23,0,0,0,0,0,0,0,0,1,0,0,0,0
1.5,24,0,4,4,2,2,2,0,2,1,4,0,0,0
1.5,25,0,5,5,3,3,2,0,4,1,4,0,0,0
1.5,26,0,1,1,2,2,1,0,1,1,1,0,0,0
1.5,27,0,4,4,4,4,2,0,2,1,4,0,0,0
1.5,28,0,8,8,3,3,2,0,6,1,8,0,0,0
1.5,29,0,6,6,3,3,1,0,1,1,6,0,0,0
1.5,30,0,4,4,4,4,2,0,2,1,4,0,0,0
2,0,1,2,2,5,5,2,2,1,1,2,0,0,0
2,1,0,2,2,1,1,1,0,1,1,2,0,0,0
2,2,0,2,2,1,1,1,0,1,1,2,0,0,0
2,3,1,2,2,4,4,2,2,0,1,2,0,0,0
2,4,0,2,2,2,2,1,0,0,1,2,0,0,0
2,5,1,3,3,0,0,0,1,2,1,3,0,0,0
2,6,0,4,4,5,5,2,0,0,1,4,0,0,0
2,7,1,8,8,3,3,2,4,0,1,8,0,0,0
2,8,0,6,6,4,4,2,0,3,1,6,0,0,0
2,9,1,6,6,8,8,3,3,0,1,6,0,0,0
2,10,1,7,7,3,3,2,1,1,1,7,0,0,0
2,11,0,4,4,3,3,2,0,1,1,4,0,0,0
2,12,1,2,2,7,7,2,2,0,1,2,0,0,0
2,13,0,3,3,2,2,2,0,0,1,3,0,0,0
2,14,0,7,7,3,3,2,0,1,1,7,0,0,0
2,15,1,6,6,8,8,3,2,0,1,6,0,0,0
2,16,1,6,6,4,4,2,5,3,1,6,0,0,0
2,17,0,6,6,5,5,2,0,0,1,6,0,0,0
2,18,0,5,5,6,6,3,0,0,1,5,0,0,0
2,19,0,3,3,2,2,2,0,0,1,3,0,0,0
2,20,0,2,2,2,2,1,0,0,1,2,0,0,0
2,21,0,4,4,3,3,2,0,1,1,4,0,0,0
2,22,0,0,0,0,0,0,0,0,1,0,0,0,0
2,23,0,0,0,0,0,0,0,0,1,0,0,0,0
2,24,1,4,4,2,2,2,4,0,1,4,0,0,0
2,25,1,5,5,3,3,2,1,0,1,5,0,0,0
2,26,0,1,1,2,2,1,0,0,1,1,0,0,0
2,27,1,4,4,4,4,2,4,0,1,4,0,0,0
2,28,1,8,8,4,4,3,7,1,1,8,0,0,0
2,29,1,6,6,4,4,2,2,1,1,6,0,0,0
2,30,1,4,4,4,4,2,4,0,1,4,0,0,0
2.5,0,1,2,2,5,5,2,2,0,1,2,0,0,0
2.5,1,0,2,2,1,1,1,0,0,1,2,0,0,0
2.5,2,0,2,2,1,1,1,0,0,1,2,0,0,0
2.5,3,1,2,2,4,4,2,2,0,1,2,0,0,0
2.5,4,0,2,2,2,2,1,0,0,1,2,0,0,0
2.5,5,1,3,3,0,0,0,3,0,1,3,0,0,0
2.5,6,0,4,4,5,5,2,0,0,1,4,0,0,0
2.5,7,1,8,8,3,3,2,4,0,1,8,0,0,0
2.5,8,0,6,6,4,4,2,0,0,1,6,0,0,0
2.5,9,1,6,6,8,8,3,5,0,1,6,0,0,0
2.5,10,1,7,7,3,3,2,1,0,1,7,0,0,0
2.5,11,0,4,4,3,3,2,0,0,1,4,0,0,0
2.5,12,1,2,2,7,7,2,2,0,1,2,0,0,0
2.5,13,0,3,3,2,2,2,0,0,1,3,0,0,0
2.5,14,0,7,7,3,3,2,0,0,1,7,0,0,0
2.5,15,1,6,6,8,8,3,2,0,1,6,0,0,0
2.5,16,1,6,6,4,4,2,5,0,1,6,0,0,0
2.5,17,0,6,6,5,5,2,0,0,1,6,0,0,0
2.5,18,1,5,5,6,6,3,5,0,1,5,0,0,0
2.5,19,0,3,3,2,2,2,0,0,1,3,0,0,0
2.5,20,0,2,2,2,2,1,0,0,1,2,0,0,0
2.5,21,0,4,4,3,3,2,0,0,1,4,0,0,0
2.5,22,0,0,0,0,0,0,0,0,1,0,0,0,0
2.5,23,0,0,0,0,0,0,0,0,1,0,0,0,0
2.5,24,1,4,4,2,2,2,4,0,1,4,0,0,0
2.5,25,1,5,5,3,3,2,5,0,1,5,0,0,0
2.5,26,0,1,1,2,2,1,0,0,1,1,0,0,0
2.5,27,1,4,4,4,4,2,4,0,1,3,0,0,0
2.5,28,1,8,8,4,4,3,7,0,1,8,0,0,0
2.5,29,1,6,6,4,4,2,2,0,1,6,0,0,0
2.5,30,1,4,4,4,4,2,4,0,1,4,0,0,0
3,0,1,2,2,5,5,2,2,0,1,1,1,0,0
3,1,0,2,2,1,1,1,0,0,1,2,0,0,0
3,2,0,2,2,1,1,1,0,0,1,2,0,0,0
3,3,1,2,2,4,4,2,2,0,1,2,1,0,0
3,4,0,2,2,2,2,1,0,0,1,2,0,0,0
3,5,1,3,3,0,0,0,3,0,1,3,1,0,0
3,6,0,4,4,5,5,2,0,0,1,4,0,0,0
3,7,1,8,8,3,3,2,4,0,1,8,1,0,0
3,8,0,6,6,4,4,2,0,0,1,6,0,0,0
3,9,1,6,6,8,8,3,5,0,1,6,1,0,0
3,10,1,7,7,3,3,2,1,0,1,6,1,0,0
3,11,0,4,4,3,3,2,0,0,1,4,0,0,0
3,12,1,2,2,7,7,2,2,0,1,2,1,0,0
3,13,0,3,3,2,2,2,0,0,1,3,0,0,0
3,14,0,7,7,3,3,2,0,0,1,7,0,0,0
3,15,0,6,6,8,8,3,0,0,1,6,0,0,0
3,16,1,6,6,4,4,2,5,0,1,6,1,0,0
3,17,0,6,6,5,5,2,0,0,1,6,0,0,0
3,18,1,5,5,6,6,3,5,0,1,5,1,0,0
3,19,0,3,3,2,2,2,0,0,1,3,0,0,0
3,20,0,2,2,2,2,1,0,0,1,2,0,0,0
3,21,0,4,4,3,3,2,0,0,1,4,0,0,0
3,22,0,0,0,0,0,0,0,0,1,0,0,0,0
3,23,0,0,0,0,0,0,0,0,1,0,0,0,0
3,24,1,4,4,2,2,2,4,0,1,4,1,0,0
3,25,1,5,5,3,3,2,5,0,1,5,1,0,0
3,26,0,1,1,2,2,1,0,0,1,1,0,0,0
3,27,1,4,4,4,4,2,4,0,1,4,1,0,0
3,28,1,8,8,4,4,3,7,0,1,7,1,0,0
3,29,1,6,6,4,4,2,2,0,1,6,1,0,0
3,30,1,4,4,4,4,2,4,0,1,4,1,0,0
3.5,0,1,2,2,5,5,2,2,2,1,2,0,12,12
3.5,1,0,2,2,1,1,1,0,0,1,2,0,0,1
3.5,2,0,2,2,1,1,1,0,0,1,2,0,0,1
3.5,3,1,2,2,4,4,2,2,0,1,2,0,12,12
3.5,4,0,2,2,2,2,1,0,0,1,2,0,0,12
3.5,5,1,3,3,0,0,0,3,0,1,3,0,0,0
3.5,6,0,4,4,5,5,2,0,0,1,4,0,0,14
3.5,7,1,8,8,3,3,2,4,0,1,8,0,10,13
3.5,8,0,6,6,4,4,2,0,0,1,6,0,0,14
3.5,9,1,6,6,8,8,3,5,0,1,6,0,13,13
3.5,10,1,7,7,3,3,2,1,2,1,7,0,0,13
3.5,11,0,4,4,3,3,2,0,0,1,4,0,0,14
3.5,12,1,2,2,7,7,2,2,0,1,2,0,13,13
3.5,13,0,3,3,2,2,2,0,0,1,3,0,0,12
3.5,14,0,7,7,3,3,2,0,0,1,7,0,0,14
3.5,15,0,6,6,8,8,3,0,0,1,6,0,0,14
3.5,16,1,6,6,4,4,2,5,0,1,6,0,13,13
3.5,17,0,6,6,5,5,2,0,0,1,6,0,0,14
3.5,18,1,5,5,6,6,3,5,0,1,5,0,13,13
3.5,19,0,3,3,2,2,2,0,0,1,3,0,0,12
3.5,20,0,2,2,2,2,1,0,0,1,2,0,0,12
3.5,21,0,4,4,3,3,2,0,0,1,4,0,0,14
3.5,22,0,0,0,0,0,0,0,0,1,0,0,0,0
3.5,23,0,0,0,0,0,0,0,0,1,0,0,0,0
3.5,24,1,4,4,2,2,2,4,0,1,4,0,11,11
3.5,25,1,5,5,3,3,2,5,0,1,5,0,13,13
3.5,26,0,1,1,2,2,1,0,0,1,1,0,0,1
3.5,27,1,4,4,4,4,2,4,0,1,4,0,11,11
3.5,28,1,8,8,4,4,3,7,6,1,8,0,13,13
3.5,29,1,6,6,4,4,2,2,0,1,6,0,6,13
3.5,30,1,4,4,4,4,2,4,0,1,4,0,12,12
4,0,1,2,2,5,5,2,2,0,1,2,0,1,1
4,1,0,2,2,1,1,1,0,0,1,2,0,0,0
4,2,0,2,2,1,1,1,0,0,1,2,0,0,0
4,3,1,2,2,4,4,2,2,0,1,2,0,1,1
4,4,0,2,2,2,2,1,0,0,1,2,0,0,2
4,5,1,3,3,0,0,0,3,0,1,2,0,0,0
4,6,0,4,4,5,5,2,0,0,1,4,0,0,0
4,7,1,8,8,3,3,2,4,0,1,8,0,0,0
4,8,0,6,6,4,4,2,0,0,1,6,0,0,0
4,9,1,6,6,8,8,3,5,0,1,6,0,0,0
4,10,1,7,7,3,3,2,1,0,1,7,0,0,0
4,11,0,4,4,3,3,2,0,0,1,4,0,0,0
4,12,1,2,2,7,7,2,2,0,1,2,0,0,0
4,13,0,3,3,2,2,2,0,0,1,3,0,0,2
4,14,0,7,7,3,3,2,0,0,1,7,0,0,0
4,15,0,6,6,8,8,3,0,0,1,6,0,0,0
4,16,1,6,6,4,4,2,5,0,1,6,0,0,0
4,17,0,6,6,5,5,2,0,0,1,6,0,0,0
4,18,1,5,5,6,6,3,5,0,1,5,0,0,0
4,19,0,3,3,2,2,2,0,0,1,3,0,0,2
