window_start,window_end,sent_pkts,sent_bytes,recv_pkts,recv_bytes,avg_delay_ms,jitter_ms,DestinationRecvDataPkts,DestinationRecvDataBytes,throughput_bps,goodput_bps,ETX,PDR,LossRate
30.0,30.5,409,91480,409,91480,0.361,0.098,0.0,0.0,1463680,0,0.0,0.0,1.0
30.5,31.0,194,28600,193,28600,0.284,0.036,0.0,0.0,457600,0,0.0,0.0,1.0
31.0,31.5,205,30404,205,30404,0.304,0.026,0.0,0.0,486464,0,0.0,0.0,1.0
31.5,32.0,439,102116,438,102116,0.366,0.102,0.0,0.0,1633856,0,0.0,0.0,1.0
32.0,32.5,210,31496,209,31496,0.296,0.019,0.0,0.0,503936,0,0.0,0.0,1.0
32.5,33.0,202,30768,201,30768,0.309,0.029,0.0,0.0,492288,0,0.0,0.0,1.0
33.0,33.5,545,115308,544,115308,0.352,0.094,0.0,0.0,1844928,0,0.0,0.0,1.0
33.5,34.0,219,34236,218,34236,0.295,0.021,0.0,0.0,547776,0,0.0,0.0,1.0
34.0,34.5,233,36492,233,36492,0.3,0.033,0.0,0.0,583872,0,0.0,0.0,1.0
34.5,35.0,453,95436,452,95436,0.342,0.068,0.0,0.0,1526976,0,0.0,0.0,1.0
35.0,35.5,238,37672,238,37672,0.319,0.051,0.0,0.0,602752,0,0.0,0.0,1.0
35.5,36.0,227,35844,227,35844,0.304,0.041,0.0,0.0,573504,0,0.0,0.0,1.0
36.0,36.5,526,113516,526,113516,0.346,0.106,0.0,0.0,1816256,0,0.0,0.0,1.0
36.5,37.0,227,37004,227,37004,0.319,0.048,0.0,0.0,592064,0,0.0,0.0,1.0
37.0,37.5,214,34792,214,34792,0.322,0.046,0.0,0.0,556672,0,0.0,0.0,1.0
37.5,38.0,502,105564,498,105564,0.351,0.08,0.0,0.0,1689024,0,0.0,0.0,1.0
38.0,38.5,252,41440,252,41440,0.328,0.049,0.0,0.0,663040,0,0.0,0.0,1.0
38.5,39.0,262,43328,262,43328,0.325,0.048,0.0,0.0,693248,0,0.0,0.0,1.0
39.0,39.5,506,120632,503,120632,0.366,0.108,0.0,0.0,1930112,0,0.0,0.0,1.0
39.5,40.0,269,44948,269,44948,0.312,0.042,0.0,0.0,719168,0,0.0,0.0,1.0
40.0,40.5,258,42944,258,42944,0.314,0.048,0.0,0.0,687104,0,0.0,0.0,1.0
40.5,41.0,532,117012,532,117012,0.366,0.106,0.0,0.0,1872192,0,0.0,0.0,1.0
41.0,41.5,282,48176,282,48176,0.327,0.048,0.0,0.0,770816,0,0.0,0.0,1.0
41.5,42.0,286,49688,286,49688,0.309,0.044,0.0,0.0,795008,0,0.0,0.0,1.0
42.0,42.5,545,119828,545,119828,0.355,0.097,0.0,0.0,1917248,0,0.0,0.0,1.0
42.5,43.0,271,47132,270,47132,0.307,0.039,0.0,0.0,754112,0,0.0,0.0,1.0
43.0,43.5,263,45764,261,45764,0.32,0.047,0.0,0.0,732224,0,0.0,0.0,1.0
43.5,44.0,488,119372,486,119372,0.369,0.111,0.0,0.0,1909952,0,0.0,0.0,1.0
44.0,44.5,283,49940,282,49940,0.326,0.048,0.0,0.0,799040,0,0.0,0.0,1.0
44.5,45.0,274,48080,274,48080,0.328,0.047,0.0,0.0,769280,0,0.0,0.0,1.0
45.0,45.5,563,141156,562,141156,0.376,0.101,0.0,0.0,2258496,0,0.0,0.0,1.0
45.5,46.0,281,50428,280,50428,0.326,0.047,0.0,0.0,806848,0,0.0,0.0,1.0
46.0,46.5,292,52736,291,52736,0.318,0.044,0.0,0.0,843776,0,0.0,0.0,1.0
46.5,47.0,543,131908,542,131908,0.362,0.103,0.0,0.0,2110528,0,0.0,0.0,1.0
47.0,47.5,306,56936,306,56936,0.343,0.052,0.0,0.0,910976,0,0.0,0.0,1.0
47.5,48.0,322,59752,322,59752,0.335,0.051,0.0,0.0,956032,0,0.0,0.0,1.0
48.0,48.5,533,111064,530,111064,0.334,0.07,0.0,0.0,1777024,0,0.0,0.0,1.0
48.5,49.0,295,54540,295,54540,0.322,0.042,0.0,0.0,872640,0,0.0,0.0,1.0
49.0,49.5,320,59552,320,59552,0.34,0.056,0.0,0.0,952832,0,0.0,0.0,1.0
49.5,50.0,624,127952,624,127952,0.338,0.082,0.0,0.0,2047232,0,0.0,0.0,1.0
