window_start,window_end,node_id,sent_pkts,sent_bytes,recv_pkts,recv_bytes,avg_delay_ms,jitter_ms,throughput_bps,DestinationRecvDataPkts,DestinationRecvDataBytes,goodput_bps
0.0,0.5,0,4,336,4.0,336.0,0.255,0.0,5376,0.0,0.0,0
0.0,0.5,1,2,168,2.0,168.0,0.254,0.001,2688,0.0,0.0,0
0.0,0.5,2,3,252,3.0,252.0,0.255,0.001,4032,0.0,0.0,0
0.0,0.5,3,4,336,4.0,336.0,0.255,0.001,5376,0.0,0.0,0
0.0,0.5,4,1,84,1.0,84.0,0.255,0.0,1344,0.0,0.0,0
0.0,0.5,5,4,336,4.0,336.0,0.255,0.0,5376,0.0,0.0,0
0.0,0.5,6,4,336,4.0,336.0,0.255,0.001,5376,0.0,0.0,0
0.0,0.5,7,5,420,5.0,420.0,0.255,0.0,6720,0.0,0.0,0
0.0,0.5,8,2,168,2.0,168.0,0.255,0.0,2688,0.0,0.0,0
0.0,0.5,9,4,336,4.0,336.0,0.255,0.0,5376,0.0,0.0,0
0.0,0.5,10,3,252,3.0,252.0,0.254,0.001,4032,0.0,0.0,0
0.5,1.0,0,4,464,4.0,472.0,0.279,0.003,7552,0.0,0.0,0
0.5,1.0,1,2,200,2.0,224.0,0.274,0.005,3584,0.0,0.0,0
0.5,1.0,2,3,324,3.0,332.0,0.274,0.008,5312,0.0,0.0,0
0.5,1.0,3,4,464,4.0,432.0,0.272,0.008,6912,0.0,0.0,0
0.5,1.0,4,1,92,1.0,116.0,0.278,0.0,1856,0.0,0.0,0
0.5,1.0,5,4,464,4.0,440.0,0.273,0.006,7040,0.0,0.0,0
0.5,1.0,6,4,464,4.0,464.0,0.278,0.005,7424,0.0,0.0,0
0.5,1.0,7,5,620,5.0,556.0,0.274,0.005,8896,0.0,0.0,0
0.5,1.0,8,2,200,2.0,240.0,0.281,0.004,3840,0.0,0.0,0
0.5,1.0,9,4,464,4.0,448.0,0.275,0.008,7168,0.0,0.0,0
0.5,1.0,10,3,324,3.0,356.0,0.279,0.003,5696,0.0,0.0,0
1.0,1.5,0,4,464,4.0,472.0,0.28,0.0,7552,0.0,0.0,0
1.0,1.5,1,2,200,2.0,224.0,0.275,0.007,3584,0.0,0.0,0
1.0,1.5,2,3,324,3.0,332.0,0.273,0.012,5312,0.0,0.0,0
1.0,1.5,3,4,464,4.0,432.0,0.27,0.008,6912,0.0,0.0,0
1.0,1.5,4,1,92,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
1.0,1.5,5,4,464,4.0,440.0,0.27,0.008,7040,0.0,0.0,0
1.0,1.5,6,4,464,4.0,464.0,0.278,0.005,7424,0.0,0.0,0
1.0,1.5,7,5,620,5.0,556.0,0.274,0.009,8896,0.0,0.0,0
1.0,1.5,8,2,200,2.0,240.0,0.28,0.0,3840,0.0,0.0,0
1.0,1.5,9,4,464,4.0,448.0,0.275,0.01,7168,0.0,0.0,0
1.0,1.5,10,3,324,3.0,356.0,0.28,0.0,5696,0.0,0.0,0
1.5,2.0,0,4,464,4.0,472.0,0.28,0.0,7552,0.0,0.0,0
1.5,2.0,1,2,200,2.0,224.0,0.275,0.007,3584,0.0,0.0,0
1.5,2.0,2,3,324,3.0,332.0,0.277,0.006,5312,0.0,0.0,0
1.5,2.0,3,4,464,4.0,432.0,0.272,0.01,6912,0.0,0.0,0
1.5,2.0,4,1,92,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
1.5,2.0,5,4,464,4.0,440.0,0.275,0.006,7040,0.0,0.0,0
1.5,2.0,6,4,464,4.0,464.0,0.278,0.005,7424,0.0,0.0,0
1.5,2.0,7,5,620,5.0,556.0,0.276,0.005,8896,0.0,0.0,0
1.5,2.0,8,2,200,2.0,240.0,0.28,0.0,3840,0.0,0.0,0
1.5,2.0,9,4,464,4.0,448.0,0.275,0.006,7168,0.0,0.0,0
1.5,2.0,10,3,324,3.0,356.0,0.28,0.0,5696,0.0,0.0,0
2.0,2.5,0,4,464,4.0,472.0,0.283,0.005,7552,0.0,0.0,0
2.0,2.5,1,2,200,2.0,224.0,0.275,0.007,3584,0.0,0.0,0
2.0,2.5,2,3,324,3.0,332.0,0.277,0.006,5312,0.0,0.0,0
2.0,2.5,3,4,464,4.0,432.0,0.275,0.01,6912,0.0,0.0,0
2.0,2.5,4,1,92,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
2.0,2.5,5,4,464,4.0,440.0,0.278,0.005,7040,0.0,0.0,0
2.0,2.5,6,4,464,4.0,464.0,0.28,0.008,7424,0.0,0.0,0
2.0,2.5,7,5,620,5.0,556.0,0.276,0.005,8896,0.0,0.0,0
2.0,2.5,8,2,200,2.0,240.0,0.285,0.007,3840,0.0,0.0,0
2.0,2.5,9,4,464,4.0,448.0,0.278,0.01,7168,0.0,0.0,0
