time,node_id,initial_energy,remaining_energy,data_mode,data_rate_mbps,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_m_s,yaw_deg,pitch_deg
3.5,6,122.206,119.343,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
3.5,7,145.576,142.714,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
3.5,8,139.507,136.643,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
3.5,9,112.902,110.039,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
3.5,10,130.095,127.232,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
4,0,1e+06,999997,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
4,1,132.764,129.491,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
4,2,101.688,98.4155,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
4,3,114.45,111.179,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
4,4,103.067,99.793,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
4,5,112.874,109.602,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
4,6,122.206,118.934,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
4,7,145.576,142.305,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
4,8,139.507,136.234,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
4,9,112.902,109.63,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
4,10,130.095,126.823,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
4.5,0,1e+06,999996,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
4.5,1,132.764,129.081,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
4.5,2,101.688,98.0064,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
4.5,3,114.45,110.77,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
4.5,4,103.067,99.3837,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
4.5,5,112.874,109.193,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
4.5,6,122.206,118.525,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
4.5,7,145.576,141.896,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
4.5,8,139.507,135.825,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
4.5,9,112.902,109.221,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
4.5,10,130.095,126.414,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
