time,node_id,initial_energy,remaining_energy,data_mode,data_rate_mbps,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_m_s,yaw_deg,pitch_deg
1,0,1e+06,999999,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
1,1,175.732,174.913,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
1,2,174.887,174.069,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
1,3,168.211,167.393,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
1,4,188.876,188.058,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
1,5,175.406,174.588,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
1,6,194.364,193.546,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
1,7,165.531,164.713,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
1,8,182.102,181.284,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
1,9,188.777,187.959,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
1,10,161.702,160.884,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
1.5,0,1e+06,999999,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
1.5,1,175.732,174.504,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
1.5,2,174.887,173.66,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
1.5,3,168.211,166.984,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
1.5,4,188.876,187.648,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
1.5,5,175.406,174.179,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
1.5,6,194.364,193.137,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
1.5,7,165.531,164.304,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
1.5,8,182.102,180.875,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
1.5,9,188.777,187.55,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
1.5,10,161.702,160.474,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
2,0,1e+06,999998,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
2,1,175.732,174.095,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
2,2,174.887,173.25,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
2,3,168.211,166.575,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
2,4,188.876,187.239,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
2,5,175.406,173.77,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
2,6,194.364,192.728,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
2,7,165.531,163.895,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
2,8,182.102,180.466,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
2,9,188.777,187.141,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
2,10,161.702,160.065,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
2.5,0,1e+06,999998,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
2.5,1,175.732,173.686,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
