window_start,window_end,node_id,sent_pkts,sent_bytes,recv_pkts,recv_bytes,avg_delay_ms,jitter_ms,throughput_bps,DestinationRecvDataPkts,DestinationRecvDataBytes,goodput_bps
0.0,0.5,0.0,4.0,336.0,4.0,336.0,0.255,0.0,5376,0.0,0.0,0
0.0,0.5,1.0,2.0,168.0,2.0,168.0,0.254,0.001,2688,0.0,0.0,0
0.0,0.5,2.0,3.0,252.0,3.0,252.0,0.255,0.001,4032,0.0,0.0,0
0.0,0.5,3.0,4.0,336.0,4.0,336.0,0.255,0.001,5376,0.0,0.0,0
0.0,0.5,4.0,1.0,84.0,1.0,84.0,0.255,0.0,1344,0.0,0.0,0
0.0,0.5,5.0,4.0,336.0,4.0,336.0,0.255,0.0,5376,0.0,0.0,0
0.0,0.5,6.0,4.0,336.0,4.0,336.0,0.255,0.001,5376,0.0,0.0,0
0.0,0.5,7.0,5.0,420.0,5.0,420.0,0.255,0.0,6720,0.0,0.0,0
0.0,0.5,8.0,2.0,168.0,2.0,168.0,0.255,0.0,2688,0.0,0.0,0
0.0,0.5,9.0,4.0,336.0,4.0,336.0,0.255,0.0,5376,0.0,0.0,0
0.0,0.5,10.0,3.0,252.0,3.0,252.0,0.255,0.001,4032,0.0,0.0,0
0.5,1.0,0.0,4.0,464.0,4.0,472.0,0.28,0.003,7552,0.0,0.0,0
0.5,1.0,1.0,2.0,200.0,2.0,224.0,0.275,0.004,3584,0.0,0.0,0
0.5,1.0,2.0,3.0,324.0,3.0,332.0,0.274,0.008,5312,0.0,0.0,0
0.5,1.0,3.0,4.0,464.0,4.0,432.0,0.272,0.008,6912,0.0,0.0,0
0.5,1.0,4.0,1.0,92.0,1.0,116.0,0.278,0.0,1856,0.0,0.0,0
0.5,1.0,5.0,4.0,464.0,4.0,440.0,0.274,0.006,7040,0.0,0.0,0
0.5,1.0,6.0,4.0,464.0,4.0,464.0,0.278,0.005,7424,0.0,0.0,0
0.5,1.0,7.0,5.0,620.0,5.0,556.0,0.274,0.005,8896,0.0,0.0,0
0.5,1.0,8.0,2.0,200.0,2.0,240.0,0.281,0.006,3840,0.0,0.0,0
0.5,1.0,9.0,4.0,464.0,4.0,448.0,0.275,0.008,7168,0.0,0.0,0
0.5,1.0,10.0,3.0,324.0,3.0,356.0,0.28,0.004,5696,0.0,0.0,0
1.0,1.5,0.0,2.0,232.0,4.0,472.0,0.283,0.005,7552,0.0,0.0,0
1.0,1.5,1.0,2.0,200.0,2.0,224.0,0.275,0.007,3584,0.0,0.0,0
1.0,1.5,2.0,3.0,324.0,3.0,332.0,0.273,0.012,5312,0.0,0.0,0
1.0,1.5,3.0,4.0,464.0,4.0,432.0,0.272,0.01,6912,0.0,0.0,0
1.0,1.5,4.0,1.0,92.0,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
1.0,1.5,5.0,4.0,464.0,4.0,440.0,0.272,0.01,7040,0.0,0.0,0
1.0,1.5,6.0,4.0,464.0,2.0,232.0,0.28,0.014,3712,0.0,0.0,0
1.0,1.5,7.0,5.0,620.0,3.0,324.0,0.27,0.01,5184,0.0,0.0,0
1.0,1.5,8.0,2.0,200.0,1.0,124.0,0.29,0.0,1984,0.0,0.0,0
1.0,1.5,9.0,1.0,116.0,4.0,448.0,0.275,0.013,7168,0.0,0.0,0
1.0,1.5,10.0,3.0,324.0,2.0,240.0,0.285,0.007,3840,0.0,0.0,0
1.5,2.0,0.0,4.0,464.0,4.0,472.0,0.283,0.005,7552,0.0,0.0,0
1.5,2.0,1.0,2.0,200.0,2.0,224.0,0.275,0.007,3584,0.0,0.0,0
1.5,2.0,2.0,3.0,324.0,3.0,332.0,0.273,0.012,5312,0.0,0.0,0
1.5,2.0,3.0,4.0,464.0,4.0,432.0,0.27,0.008,6912,0.0,0.0,0
1.5,2.0,4.0,1.0,92.0,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
1.5,2.0,5.0,4.0,464.0,4.0,440.0,0.27,0.008,7040,0.0,0.0,0
1.5,2.0,6.0,4.0,464.0,4.0,464.0,0.278,0.01,7424,0.0,0.0,0
1.5,2.0,7.0,5.0,620.0,5.0,556.0,0.272,0.004,8896,0.0,0.0,0
1.5,2.0,8.0,2.0,200.0,2.0,240.0,0.28,0.014,3840,0.0,0.0,0
1.5,2.0,9.0,4.0,464.0,4.0,448.0,0.278,0.01,7168,0.0,0.0,0
1.5,2.0,10.0,3.0,324.0,3.0,356.0,0.283,0.006,5696,0.0,0.0,0
2.0,2.5,0.0,4.0,464.0,4.0,472.0,0.278,0.005,7552,0.0,0.0,0
2.0,2.5,1.0,2.0,200.0,2.0,224.0,0.27,0.0,3584,0.0,0.0,0
2.0,2.5,2.0,3.0,324.0,3.0,332.0,0.273,0.006,5312,0.0,0.0,0
2.0,2.5,3.0,4.0,464.0,4.0,432.0,0.27,0.008,6912,0.0,0.0,0
2.0,2.5,4.0,1.0,92.0,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
2.0,2.5,5.0,4.0,464.0,4.0,440.0,0.275,0.006,7040,0.0,0.0,0
2.0,2.5,6.0,4.0,464.0,4.0,464.0,0.278,0.005,7424,0.0,0.0,0
2.0,2.5,7.0,5.0,620.0,5.0,556.0,0.276,0.005,8896,0.0,0.0,0
2.0,2.5,8.0,2.0,200.0,2.0,240.0,0.28,0.0,3840,0.0,0.0,0
2.0,2.5,9.0,4.0,464.0,4.0,448.0,0.275,0.006,7168,0.0,0.0,0
2.0,2.5,10.0,3.0,324.0,3.0,356.0,0.28,0.0,5696,0.0,0.0,0
2.5,3.0,0.0,4.0,464.0,4.0,472.0,0.28,0.0,7552,0.0,0.0,0
2.5,3.0,1.0,2.0,200.0,2.0,224.0,0.275,0.007,3584,0.0,0.0,0
2.5,3.0,2.0,3.0,324.0,3.0,332.0,0.273,0.012,5312,0.0,0.0,0
2.5,3.0,3.0,4.0,464.0,4.0,432.0,0.272,0.01,6912,0.0,0.0,0
2.5,3.0,4.0,1.0,92.0,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
2.5,3.0,5.0,4.0,464.0,4.0,440.0,0.272,0.01,7040,0.0,0.0,0
2.5,3.0,6.0,4.0,464.0,4.0,464.0,0.278,0.005,7424,0.0,0.0,0
2.5,3.0,7.0,5.0,620.0,5.0,556.0,0.276,0.005,8896,0.0,0.0,0
2.5,3.0,8.0,2.0,200.0,2.0,240.0,0.28,0.0,3840,0.0,0.0,0
2.5,3.0,9.0,4.0,464.0,4.0,448.0,0.275,0.006,7168,0.0,0.0,0
2.5,3.0,10.0,3.0,324.0,3.0,356.0,0.28,0.0,5696,0.0,0.0,0
3.0,3.5,0.0,8.0,1376.0,8.0,1192.0,0.301,0.039,19072,0.0,0.0,0
3.0,3.5,1.0,2.0,200.0,3.0,516.0,0.32,0.035,8256,0.0,0.0,0
3.0,3.5,2.0,3.0,672.0,6.0,804.0,0.29,0.045,12864,0.0,0.0,0
3.0,3.5,3.0,12.0,1648.0,6.0,952.0,0.31,0.035,15232,0.0,0.0,0
3.0,3.5,4.0,1.0,92.0,3.0,412.0,0.293,0.067,6592,0.0,0.0,0
3.0,3.5,5.0,8.0,1168.0,7.0,1080.0,0.306,0.051,17280,0.0,0.0,0
3.0,3.5,6.0,4.0,544.0,6.0,920.0,0.305,0.025,14720,0.0,0.0,0
3.0,3.5,7.0,10.0,1760.0,6.0,804.0,0.293,0.025,12864,0.0,0.0,0
3.0,3.5,8.0,2.0,200.0,3.0,468.0,0.307,0.031,7488,0.0,0.0,0
3.0,3.5,9.0,4.0,464.0,5.0,696.0,0.294,0.023,11136,0.0,0.0,0
3.0,3.5,10.0,3.0,324.0,4.0,604.0,0.3,0.022,9664,0.0,0.0,0
3.5,4.0,0.0,4.0,464.0,4.0,472.0,0.283,0.005,7552,0.0,0.0,0
3.5,4.0,1.0,2.0,200.0,2.0,224.0,0.275,0.007,3584,0.0,0.0,0
3.5,4.0,2.0,3.0,324.0,3.0,332.0,0.277,0.006,5312,0.0,0.0,0
3.5,4.0,3.0,4.0,464.0,4.0,432.0,0.272,0.01,6912,0.0,0.0,0
3.5,4.0,4.0,1.0,92.0,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
3.5,4.0,5.0,4.0,464.0,4.0,440.0,0.275,0.006,7040,0.0,0.0,0
3.5,4.0,6.0,4.0,464.0,4.0,464.0,0.278,0.01,7424,0.0,0.0,0
3.5,4.0,7.0,5.0,620.0,5.0,556.0,0.272,0.004,8896,0.0,0.0,0
3.5,4.0,8.0,2.0,200.0,2.0,240.0,0.28,0.014,3840,0.0,0.0,0
3.5,4.0,9.0,4.0,464.0,4.0,448.0,0.278,0.01,7168,0.0,0.0,0
3.5,4.0,10.0,3.0,324.0,3.0,356.0,0.277,0.012,5696,0.0,0.0,0
4.0,4.5,0.0,4.0,464.0,4.0,472.0,0.28,0.0,7552,0.0,0.0,0
4.0,4.5,1.0,2.0,200.0,2.0,224.0,0.275,0.007,3584,0.0,0.0,0
4.0,4.5,2.0,3.0,324.0,3.0,332.0,0.277,0.006,5312,0.0,0.0,0
4.0,4.5,3.0,4.0,464.0,4.0,432.0,0.272,0.01,6912,0.0,0.0,0
4.0,4.5,4.0,1.0,92.0,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
4.0,4.5,5.0,4.0,464.0,4.0,440.0,0.275,0.006,7040,0.0,0.0,0
4.0,4.5,6.0,4.0,464.0,4.0,464.0,0.278,0.005,7424,0.0,0.0,0
4.0,4.5,7.0,5.0,620.0,5.0,556.0,0.274,0.009,8896,0.0,0.0,0
4.0,4.5,8.0,2.0,200.0,2.0,240.0,0.28,0.0,3840,0.0,0.0,0
4.0,4.5,9.0,4.0,464.0,4.0,448.0,0.272,0.01,7168,0.0,0.0,0
4.0,4.5,10.0,3.0,324.0,3.0,356.0,0.28,0.0,5696,0.0,0.0,0
4.5,5.0,0.0,8.0,1376.0,9.0,1260.0,0.298,0.04,20160,0.0,0.0,0
4.5,5.0,1.0,2.0,200.0,4.0,572.0,0.298,0.021,9152,0.0,0.0,0
4.5,5.0,2.0,6.0,840.0,7.0,872.0,0.286,0.02,13952,0.0,0.0,0
4.5,5.0,3.0,16.0,1920.0,7.0,1008.0,0.299,0.027,16128,0.0,0.0,0
4.5,5.0,4.0,1.0,92.0,4.0,480.0,0.282,0.017,7680,0.0,0.0,0
4.5,5.0,5.0,8.0,1168.0,9.0,1204.0,0.292,0.024,19264,0.0,0.0,0
4.5,5.0,6.0,4.0,544.0,6.0,920.0,0.307,0.05,14720,0.0,0.0,0
4.5,5.0,7.0,10.0,1760.0,6.0,804.0,0.293,0.027,12864,0.0,0.0,0
4.5,5.0,8.0,2.0,200.0,3.0,468.0,0.31,0.07,7488,0.0,0.0,0
4.5,5.0,9.0,4.0,464.0,5.0,696.0,0.298,0.054,11136,0.0,0.0,0
4.5,5.0,10.0,3.0,324.0,4.0,604.0,0.308,0.057,9664,0.0,0.0,0
5.0,5.5,0.0,4.0,464.0,4.0,472.0,0.28,0.0,7552,0.0,0.0,0
5.0,5.5,1.0,2.0,200.0,2.0,224.0,0.27,0.0,3584,0.0,0.0,0
5.0,5.5,2.0,3.0,324.0,3.0,332.0,0.273,0.006,5312,0.0,0.0,0
5.0,5.5,3.0,4.0,464.0,4.0,432.0,0.268,0.005,6912,0.0,0.0,0
5.0,5.5,4.0,1.0,92.0,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
5.0,5.5,5.0,4.0,464.0,4.0,440.0,0.272,0.005,7040,0.0,0.0,0
5.0,5.5,6.0,4.0,464.0,4.0,464.0,0.275,0.006,7424,0.0,0.0,0
5.0,5.5,7.0,5.0,620.0,5.0,556.0,0.272,0.008,8896,0.0,0.0,0
5.0,5.5,8.0,2.0,200.0,2.0,240.0,0.28,0.0,3840,0.0,0.0,0
5.0,5.5,9.0,4.0,464.0,4.0,448.0,0.272,0.01,7168,0.0,0.0,0
5.0,5.5,10.0,3.0,324.0,3.0,356.0,0.28,0.0,5696,0.0,0.0,0
5.5,6.0,0.0,4.0,464.0,4.0,472.0,0.28,0.0,7552,0.0,0.0,0
5.5,6.0,1.0,2.0,200.0,2.0,224.0,0.28,0.0,3584,0.0,0.0,0
5.5,6.0,2.0,3.0,324.0,3.0,332.0,0.273,0.012,5312,0.0,0.0,0
5.5,6.0,3.0,4.0,464.0,4.0,432.0,0.275,0.01,6912,0.0,0.0,0
5.5,6.0,4.0,1.0,92.0,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
5.5,6.0,5.0,4.0,464.0,4.0,440.0,0.275,0.01,7040,0.0,0.0,0
5.5,6.0,6.0,4.0,464.0,4.0,464.0,0.278,0.005,7424,0.0,0.0,0
5.5,6.0,7.0,5.0,620.0,5.0,556.0,0.274,0.009,8896,0.0,0.0,0
5.5,6.0,8.0,2.0,200.0,2.0,240.0,0.28,0.0,3840,0.0,0.0,0
5.5,6.0,9.0,4.0,464.0,4.0,448.0,0.272,0.01,7168,0.0,0.0,0
5.5,6.0,10.0,3.0,324.0,3.0,356.0,0.28,0.0,5696,0.0,0.0,0
6.0,6.5,0.0,4.0,1104.0,7.0,1124.0,0.31,0.013,17984,0.0,0.0,0
6.0,6.5,1.0,2.0,200.0,4.0,520.0,0.288,0.019,8320,0.0,0.0,0
6.0,6.5,2.0,6.0,684.0,5.0,736.0,0.3,0.021,11776,0.0,0.0,0
6.0,6.5,3.0,8.0,1376.0,6.0,888.0,0.3,0.048,14208,0.0,0.0,0
6.0,6.5,4.0,1.0,92.0,2.0,344.0,0.315,0.021,5504,0.0,0.0,0
6.0,6.5,5.0,8.0,1168.0,6.0,948.0,0.307,0.048,15168,0.0,0.0,0
6.0,6.5,6.0,4.0,544.0,5.0,852.0,0.316,0.047,13632,0.0,0.0,0
6.0,6.5,7.0,10.0,1760.0,5.0,736.0,0.3,0.052,11776,0.0,0.0,0
6.0,6.5,8.0,2.0,200.0,3.0,468.0,0.303,0.029,7488,0.0,0.0,0
6.0,6.5,9.0,4.0,464.0,5.0,696.0,0.296,0.025,11136,0.0,0.0,0
6.0,6.5,10.0,3.0,324.0,4.0,604.0,0.305,0.019,9664,0.0,0.0,0
6.5,7.0,0.0,4.0,464.0,4.0,472.0,0.283,0.005,7552,0.0,0.0,0
6.5,7.0,1.0,2.0,200.0,2.0,224.0,0.28,0.0,3584,0.0,0.0,0
6.5,7.0,2.0,3.0,324.0,3.0,332.0,0.277,0.006,5312,0.0,0.0,0
6.5,7.0,3.0,4.0,464.0,4.0,432.0,0.275,0.01,6912,0.0,0.0,0
6.5,7.0,4.0,1.0,92.0,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
6.5,7.0,5.0,4.0,464.0,4.0,440.0,0.278,0.005,7040,0.0,0.0,0
6.5,7.0,6.0,4.0,464.0,4.0,464.0,0.28,0.008,7424,0.0,0.0,0
6.5,7.0,7.0,5.0,620.0,5.0,556.0,0.274,0.009,8896,0.0,0.0,0
6.5,7.0,8.0,2.0,200.0,2.0,240.0,0.28,0.014,3840,0.0,0.0,0
6.5,7.0,9.0,4.0,464.0,4.0,448.0,0.275,0.013,7168,0.0,0.0,0
6.5,7.0,10.0,3.0,324.0,3.0,356.0,0.283,0.006,5696,0.0,0.0,0
7.0,7.5,0.0,4.0,464.0,4.0,472.0,0.28,0.0,7552,0.0,0.0,0
7.0,7.5,1.0,2.0,200.0,2.0,224.0,0.28,0.0,3584,0.0,0.0,0
7.0,7.5,2.0,2.0,216.0,3.0,332.0,0.277,0.006,5312,0.0,0.0,0
7.0,7.5,3.0,4.0,464.0,3.0,324.0,0.273,0.012,5184,0.0,0.0,0
7.0,7.5,4.0,1.0,92.0,1.0,116.0,0.28,0.0,1856,0.0,0.0,0
7.0,7.5,5.0,4.0,464.0,4.0,440.0,0.278,0.005,7040,0.0,0.0,0
7.0,7.5,6.0,4.0,464.0,3.0,348.0,0.277,0.006,5568,0.0,0.0,0
7.0,7.5,7.0,5.0,620.0,5.0,556.0,0.274,0.009,8896,0.0,0.0,0
7.0,7.5,8.0,2.0,200.0,2.0,240.0,0.28,0.0,3840,0.0,0.0,0
7.0,7.5,9.0,3.0,348.0,4.0,448.0,0.272,0.01,7168,0.0,0.0,0
7.0,7.5,10.0,3.0,324.0,3.0,356.0,0.28,0.0,5696,0.0,0.0,0
7.5,8.0,0.0,20.0,2112.0,6.0,1016.0,0.313,0.048,16256,0.0,0.0,0
7.5,8.0,1.0,2.0,200.0,4.0,552.0,0.29,0.036,8832,0.0,0.0,0
7.5,8.0,2.0,6.0,780.0,5.0,716.0,0.294,0.043,11456,0.0,0.0,0
7.5,8.0,3.0,8.0,1296.0,10.0,1172.0,0.276,0.027,18752,0.0,0.0,0
7.5,8.0,4.0,1.0,92.0,2.0,324.0,0.31,0.057,5184,0.0,0.0,0
7.5,8.0,5.0,8.0,1168.0,10.0,1212.0,0.28,0.031,19392,0.0,0.0,0
7.5,8.0,6.0,4.0,544.0,8.0,1016.0,0.285,0.041,16256,0.0,0.0,0
7.5,8.0,7.0,5.0,1320.0,9.0,988.0,0.272,0.015,15808,0.0,0.0,0
7.5,8.0,8.0,2.0,200.0,2.0,380.0,0.33,0.071,6080,0.0,0.0,0
7.5,8.0,9.0,4.0,464.0,4.0,608.0,0.3,0.055,9728,0.0,0.0,0
7.5,8.0,10.0,3.0,324.0,3.0,516.0,0.317,0.055,8256,0.0,0.0,0
8.0,8.5,0.0,4.0,464.0,4.0,472.0,0.278,0.005,7552,0.0,0.0,0
