time,node_id,neighbor_id,distance_m,symmetrical_link
1,0,18,238,1
1,0,36,247,1
1,0,38,245,1
1,0,41,223,1
1,0,3,222,1
1,0,50,246,1
1,0,37,220,1
1,1,5,222,1
1,1,2,206,1
1,1,45,217,1
1,2,5,222,1
1,2,45,217,1
1,2,1,222,1
1,3,0,219,1
1,3,27,224,0
1,3,31,228,0
1,3,41,223,1
1,3,50,246,1
1,3,37,220,1
1,4,27,224,1
1,4,20,149,1
1,4,31,228,1
1,5,47,223,1
1,5,26,198,1
1,5,2,206,1
1,5,45,217,1
1,5,1,222,1
1,6,7,208,1
1,6,38,245,1
1,6,10,218,1
1,6,46,218,1
1,6,29,218,1
1,6,49,160,0
1,6,14,247,1
1,6,33,246,1
1,7,9,220,1
1,7,40,247,1
1,7,6,208,1
1,7,17,217,1
1,7,28,235,1
1,7,15,245,1
1,7,10,218,1
1,7,29,218,1
1,7,49,160,1
1,7,14,247,1
1,8,9,220,1
1,8,25,246,1
1,8,35,238,1
1,8,43,206,1
1,8,16,216,1
1,8,21,215,1
1,8,39,245,1
1,8,15,245,1
1,8,11,184,1
1,8,42,194,1
1,9,35,238,1
1,9,40,247,1
1,9,8,243,1
1,9,7,208,1
1,9,43,206,1
1,9,16,216,1
1,9,17,217,1
1,9,28,235,1
1,9,15,245,1
1,9,49,160,0
1,9,42,194,1
1,10,40,247,1
1,10,18,238,1
1,10,7,208,1
1,10,6,208,1
1,10,32,216,1
1,10,17,217,1
1,10,28,235,1
1,10,46,218,1
1,10,29,218,1
1,10,49,160,1
1,10,14,247,1
1,10,33,246,1
1,10,38,245,1
1,11,25,246,1
1,11,35,238,1
1,11,8,243,1
1,11,43,206,1
1,11,16,216,1
1,11,21,215,1
1,11,39,245,1
1,12,25,246,1
1,12,24,208,0
1,12,34,247,1
1,12,31,228,0
1,12,48,236,1
1,12,50,246,1
1,12,37,220,1
1,13,19,208,1
1,13,24,208,1
1,13,48,236,1
1,13,30,224,1
1,14,40,247,1
1,14,18,238,1
1,14,36,247,1
1,14,7,208,1
1,14,6,208,1
1,14,38,245,1
1,14,17,217,1
1,14,28,235,1
1,14,10,218,1
1,14,46,218,1
1,14,29,218,1
1,14,49,160,0
1,14,33,246,1
1,15,9,220,1
1,15,35,238,1
1,15,40,247,1
1,15,8,243,1
1,15,7,208,1
1,15,43,206,1
1,15,16,216,1
1,15,17,217,1
1,15,39,245,1
1,15,28,235,1
1,15,49,160,0
1,15,42,194,1
1,16,9,220,1
1,16,25,246,1
1,16,35,238,1
1,16,8,243,1
1,16,43,206,1
1,16,21,215,1
1,16,39,245,1
1,16,15,245,1
1,16,11,184,1
1,17,9,220,1
1,17,40,247,1
1,17,7,208,1
1,17,28,235,1
1,17,15,245,1
1,17,10,218,1
1,17,49,160,1
1,17,14,247,1
1,18,0,219,1
1,18,47,223,1
1,18,36,247,1
1,18,38,245,1
1,18,28,235,1
1,18,41,223,1
1,18,10,218,0
1,18,46,218,1
1,18,29,218,1
1,18,50,246,1
1,18,14,247,1
1,19,24,208,1
1,19,13,184,1
1,19,48,236,1
1,19,30,224,1
1,20,27,224,1
1,20,4,228,1
1,21,25,246,1
1,21,35,238,1
1,21,8,243,1
1,21,43,206,1
1,21,16,216,1
1,21,39,245,1
1,21,11,184,1
1,22,32,216,1
1,22,44,227,0
1,22,33,246,0
1,24,19,208,1
1,24,34,247,1
1,24,13,184,1
1,24,31,228,1
1,24,48,236,1
1,24,30,224,1
1,24,37,220,1
1,24,12,228,1
1,25,35,238,1
1,25,8,243,1
1,25,36,247,1
1,25,16,216,1
1,25,21,215,1
1,25,34,247,1
1,25,11,184,0
1,25,50,246,1
1,25,37,220,1
1,25,12,228,1
1,26,5,222,1
1,26,44,227,1
1,27,20,149,1
1,27,4,228,1
1,27,31,228,1
1,27,48,236,1
1,27,3,222,1
1,27,30,224,1
