time,node_id,initial_energy,remaining_energy,data_mode,data_rate_mbps,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_m_s,yaw_deg,pitch_deg
1,0,1e+06,999999,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
1,1,187.599,186.781,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
1,2,193.193,192.374,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
1,3,158.438,157.62,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
1,4,182.15,181.331,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
1,5,173.721,172.903,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
1,6,199.26,198.443,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
1,7,187.601,186.784,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
1,8,153.011,152.194,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
1,9,167.148,166.331,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
1,10,168.002,167.185,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
1,11,162.185,161.367,DsssRate11Mbps,11,41.7598,316.002,171.632,0,0,0,0,0,0
1,12,150.961,150.144,DsssRate5_5Mbps,5.5,218.982,589.898,124.2,0,0,0,0,0,0
1,13,198.257,197.439,DsssRate11Mbps,11,153.552,851.685,158.832,0,0,0,0,0,0
1,14,180.212,179.395,DsssRate11Mbps,11,535.727,226.118,125.801,0,0,0,0,0,0
1,15,160.156,159.339,DsssRate5_5Mbps,5.5,252.415,144.059,70.4472,0,0,0,0,0,0
1,16,173.63,172.813,DsssRate1Mbps,1,145.058,308.362,90.5491,0,0,0,0,0,0
1,17,172.455,171.638,DsssRate5_5Mbps,5.5,424.01,68.2637,181.332,0,0,0,0,0,0
